raw_name	canonical_brand
Teccor	Littelfuse
Wickmann	Littelfuse
TE	TE Connectivity
TE Connectivity	TE Connectivity
Tyco Electronics	TE Connectivity
AMP	TE Connectivity
Raychem	TE Connectivity
Molex	Molex
Molex Incorporated	Molex
Molex LLC	Molex
Amphenol	Amphenol
Amphenol Corporation	Amphenol
Amphenol Corp.	Amphenol
Omron	Omron
Omron Electronics	Omron
Omron Corp.	Omron
Panasonic	Panasonic
Panasonic Industrial	Panasonic
Matsushita	Panasonic
Panasonic Corp.	Panasonic
Toshiba	Toshiba
Toshiba Semiconductor	Toshiba
Toshiba Elec.	Toshiba
ROHM	ROHM Semiconductor
Rohm Semiconductor	ROHM Semiconductor
Rohm Co.	ROHM Semiconductor
Rohm	ROHM Semiconductor
Diodes	Diodes Incorporated
Diodes Inc.	Diodes Incorporated
Diodes Incorporated	Diodes Incorporated
Zetex	Diodes Incorporated
Lite-On	Lite-On Technology
LiteOn	Lite-On Technology
LITEON	Lite-On Technology
Everlight	Everlight Electronics
Everlight Electronics	Everlight Electronics
Everlight Elec.	Everlight Electronics
Kingbright	Kingbright
Kingbright Corp.	Kingbright
Broadcom	Broadcom
Avago	Broadcom
Broadcom Inc.	Broadcom
Qualcomm	Qualcomm
Qualcomm Inc.	Qualcomm
Maxim	Maxim Integrated
Maxim Integrated	Maxim Integrated
MAXIM	Maxim Integrated
Cirrus	Cirrus Logic
Cirrus Logic	Cirrus Logic
Silicon Labs	Silicon Labs
SiLabs	Silicon Labs
Silicon Laboratories	Silicon Labs
MPS	Monolithic Power Systems
Monolithic Power	Monolithic Power Systems
Monolithic Power Systems	Monolithic Power Systems
Skyworks	Skyworks Solutions
Skyworks Solutions	Skyworks Solutions
Qorvo	Qorvo
RFMD	Qorvo
TriQuint	Qorvo
Holtek	Holtek Semiconductor
Holtek Semiconductor	Holtek Semiconductor
Nuvoton	Nuvoton Technology
Nuvoton Technology	Nuvoton Technology
Wurth	Wurth Elektronik
Wurth Elektronik	Wurth Elektronik
WE	Wurth Elektronik
JST	JST
JST Corp.	JST
JST Manufacturing	JST
Hirose	Hirose Electric
Hirose Electric	Hirose Electric
JAE	JAE
Japan Aviation Electronics	JAE
Micron	Micron Technology
Micron Technology	Micron Technology
MT	Micron Technology
SK Hynix	SK Hynix
Hynix	SK Hynix
Hyundai Electronics	SK Hynix
GigaDevice	GigaDevice Semiconductor
GigaDevice Semiconductor	GigaDevice Semiconductor
GD	GigaDevice Semiconductor
ISSI	ISSI
Integrated Silicon Solution	ISSI
Cypress	Cypress Semiconductor
Cypress Semiconductor	Cypress Semiconductor
Spansion	Cypress Semiconductor
Cree	Wolfspeed
Wolfspeed	Wolfspeed
Osram	OSRAM
OSRAM	OSRAM
Sharp	Sharp
Sharp Microelectronics	Sharp
Realtek	Realtek
Realtek Semiconductor	Realtek
Richtek	Richtek Technology
Richtek Technology	Richtek Technology
RT	Richtek Technology
AOS	Alpha & Omega Semiconductor
Alpha & Omega	Alpha & Omega Semiconductor
Alpha and Omega	Alpha & Omega Semiconductor
AOSMD	Alpha & Omega Semiconductor
Yangjie	Yangjie
YJ	Yangjie
Jiangsu JieJie	Yangjie
Hua Hong	Hua Hong Semiconductor
Huahong	Hua Hong Semiconductor
SGMICRO	SGMICRO
SG Micro	SGMICRO
3PEAK	3PEAK
Sanpei	3PEAK
UTC	Unisonic
Unisonic	Unisonic
Unisonic Technologies	Unisonic
Walsin	Walsin Technology
Walsin Technology	Walsin Technology
WL	Walsin Technology
Fenghua	Fenghua
Fenghua Advanced Tech	Fenghua
Holy Stone	Holy Stone
Holy Stone Enterprise	Holy Stone
Alpha & Omega Semiconductor	Alpha & Omega Semiconductor
Hua Hong Semiconductor	Hua Hong Semiconductor
KEMET Electronics	KEMET Electronics
Lite-On Technology	Lite-On Technology
ROHM Semiconductor	ROHM Semiconductor
Advanced Monolithic Systems	Advanced Monolithic Systems
AMS	Advanced Monolithic Systems
AMS1117	Advanced Monolithic Systems
WCH	WCH
WCH Semiconductor	WCH
Nanjing QinHeng	WCH
SIMCom	SIMCom
SIMCom Wireless	SIMCom
u-blox	u-blox
u-blox AG	u-blox
Quectel	Quectel
Quectel Wireless	Quectel
Semtech	Semtech
Raspberry Pi	Raspberry Pi
Raspberry Pi Foundation	Raspberry Pi
Huaqiang	Huaqiang
HQ	Huaqiang
Hanxin	Hanxin
HC	Hanxin
CUI	CUI Devices
MysterySemi	ZKMICRO
ZKMICRO	ZKMICRO
