mpn,clean_mpn,manufacturer,brand,url_slug,category,subcategory,description,applications,keywords,attributes_json,availability,alternative_parts,datasheet_url,faq,image
CH32F103C8T6,CH32F103C8T6,WCH,WCH,ch32f103c8t6,Microcontroller,Microcontroller,CH32F103 72MHz 64KB,,,"{""frequency_hz"": ""72MHz"", ""flash_bytes"": ""64KB"", ""ram_bytes"": ""20KB"", ""core"": ""ARM Cortex-M3""}",active,,https://www.wch.cn,,
GD32E230C8T6,GD32E230C8T6,GigaDevice Semiconductor,GigaDevice Semiconductor,gd32e230c8t6,Microcontroller,Microcontroller,GD32E230 72MHz 64KB,,,"{""frequency_hz"": ""72MHz"", ""flash_bytes"": ""64KB"", ""ram_bytes"": ""8KB"", ""core"": ""ARM Cortex-M23""}",active,,https://www.gigadevice.com,,
N76E003AT20,N76E003AT20,Nuvoton Technology,Nuvoton Technology,n76e003at20,Microcontroller,Microcontroller,N76E003 16MHz 18KB,,,"{""frequency_hz"": ""16MHz"", ""flash_bytes"": ""18KB"", ""ram_bytes"": ""1KB"", ""core"": ""8051""}",active,,https://www.nuvoton.com,,
HC89S003F4,HC89S003F4,Hanxin,Hanxin,hc89s003f4,Microcontroller,Microcontroller,HC89S003 24MHz 8KB,,,"{""frequency_hz"": ""24MHz"", ""flash_bytes"": ""8KB"", ""ram_bytes"": ""256B"", ""core"": ""8051""}",active,,https://www.hanxin.com,,
STP75NF75,STP75NF75,STMicroelectronics,STMicroelectronics,stp75nf75,MOSFET,MOSFET,STP75NF75 N-Ch 75V 80A,,,"{""vds_v"": ""75V"", ""id_a"": ""80A"", ""rds_on_mohm"": ""10mΩ""}",active,,https://www.st.com,,
IRFZ44N,IRFZ44N,Infineon Technologies,Infineon Technologies,irfz44n,MOSFET,MOSFET,IRFZ44N N-Ch 55V 49A,,,"{""vds_v"": ""55V"", ""id_a"": ""49A"", ""rds_on_mohm"": ""17.5mΩ""}",active,,https://www.infineon.com,,
IRF3205,IRF3205,Infineon Technologies,Infineon Technologies,irf3205,MOSFET,MOSFET,IRF3205 N-Ch 55V 110A,,,"{""vds_v"": ""55V"", ""id_a"": ""110A"", ""rds_on_mohm"": ""8mΩ""}",active,,https://www.infineon.com,,
AO4407A,AO4407A,Alpha & Omega Semiconductor,Alpha & Omega Semiconductor,ao4407a,MOSFET,MOSFET,AO4407A P-Ch 30V 12A,,,"{""vds_v"": ""30V"", ""id_a"": ""12A"", ""rds_on_mohm"": ""13mΩ""}",active,,https://www.aosmd.com,,
BSS138,BSS138,ON Semiconductor,ON Semiconductor,bss138,MOSFET,MOSFET,BSS138 N-Ch 50V 220mA,,,"{""vds_v"": ""50V"", ""id_a"": ""0.22A""}",active,,https://www.onsemi.com,,
RC0805JR-0710KL,RC0805JR0710KL,Yageo,Yageo,rc0805jr0710kl,Resistor,Resistor,10kΩ 0805 5%,,,"{""resistance_ohm"": ""10kΩ"", ""tolerance"": ""±5%"", ""power_rating_w"": ""0.125W""}",active,,https://www.yageo.com,,
CC0402KRX7R7BB102,CC0402KRX7R7BB102,Yageo,Yageo,cc0402krx7r7bb102,Capacitor,Capacitor,1nF 0402 X7R,,,"{""capacitance_pf"": ""1nF"", ""voltage_rating_v"": ""50V""}",active,,https://www.yageo.com,,
RS-05K102JT,RS05K102JT,Fenghua,Fenghua,rs05k102jt,Resistor,Resistor,1kΩ 0805 5%,,,"{""resistance_ohm"": ""1kΩ"", ""tolerance"": ""±5%"", ""power_rating_w"": ""0.125W""}",active,,https://www.fenghua.com,,
WCM-0402-WF100N,WCM0402WF100N,Walsin Technology,Walsin Technology,wcm0402wf100n,Capacitor,Capacitor,100nF 0402 X7R,,,"{""capacitance_pf"": ""100nF"", ""voltage_rating_v"": ""16V""}",active,,https://www.walsin.com,,
VDR-104-X7R,VDR104X7R,Holy Stone,Holy Stone,vdr104x7r,Capacitor,Capacitor,100nF 0603 X7R,,,"{""capacitance_pf"": ""100nF"", ""voltage_rating_v"": ""50V""}",active,,https://www.holystone.com,,
PH-4P,PH4P,JST,JST,ph4p,Pin Header,Pin Header,JST PH 2.0mm 4-pin,,,"{""positions"": ""4"", ""pitch_mm"": ""2.0mm""}",active,,https://www.jst-mfg.com,,
MX1.25-3P,MX1253P,Huaqiang,Huaqiang,mx1253p,Pin Header,Pin Header,1.25mm 3-pin,,,"{""positions"": ""3"", ""pitch_mm"": ""1.25mm""}",active,,https://www.huaqiang.com,,
XH-2.54-2P,XH2542P,Wurth Elektronik,Wurth Elektronik,xh2542p,Pin Header,Pin Header,2.54mm 2-pin,,,"{""positions"": ""2"", ""pitch_mm"": ""2.54mm""}",active,,https://www.we-online.com,,
2540-1x6P,25401X6P,Amphenol,Amphenol,25401x6p,Pin Header,Pin Header,2.54mm 6-pin,,,"{""positions"": ""6"", ""pitch_mm"": ""2.54mm""}",active,,https://www.amphenol.com,,
USBA-F-CUI,USBAFCUI,CUI,CUI,usbafcui,USB Connectors,USB Connectors,USB-A 4-pin,,,"{""positions"": ""4"", ""current_rating_a"": ""1.5A""}",active,,https://www.cui.com,,
ESP-12F,ESP12F,Espressif Systems,Espressif Systems,esp12f,WiFi Modules,WiFi Modules,ESP-12F 802.11b/g/n,,,"{""frequency_hz"": ""80MHz"", ""voltage_v"": ""3.0-3.6V""}",active,,https://www.espressif.com,,
Air724UG,AIR724UG,Quectel,Quectel,air724ug,Cellular Modules,Cellular Modules,Air724UG LTE Cat.1,,,"{""voltage_v"": ""3.3-4.3V"", ""data_rate_bps"": ""10Mbps""}",active,,https://www.quectel.com,,
SIM7000C,SIM7000C,SIMCom,SIMCom,sim7000c,Cellular Modules,Cellular Modules,SIM7000C NB-IoT,,,"{""voltage_v"": ""3.4-4.2V"", ""output_power_dbm"": ""23dBm""}",active,,https://www.simcom.com,,
ESP32-C3-WROOM,ESP32C3WROOM,Espressif Systems,Espressif Systems,esp32c3wroom,WiFi Modules,WiFi Modules,ESP32-C3 RISC-V WiFi,,,"{""frequency_hz"": ""160MHz"", ""core"": ""RISC-V"", ""voltage_v"": ""3.0-3.6V""}",active,,https://www.espressif.com,,
ATGM336H,ATGM336H,MysterySemi,MysterySemi,atgm336h,GNSS Modules,GNSS Modules,ATGM336H GPS,,,"{""voltage_v"": ""3.3V"", ""sensitivity_dbm"": ""-165dBm""}",active,,https://www.mysterysemi.com,,
TEST-EMPTY-MFR,TESTEMPTYMFR,,,testemptymfr,Resistor,Resistor,10k Resistor,,,"{""resistance_ohm"": ""1kΩ""}",active,,https://x.com,,
TEST-UNK-BRAND,TESTUNKBRAND,ZZZFakeChipCorp,ZZZFakeChipCorp,testunkbrand,Microcontroller,Microcontroller,Mystery MCU,,,"{""frequency_hz"": ""100MHz"", ""core"": ""ARM""}",active,,https://x.com,,
TEST-UNK-ATTR,TESTUNKATTR,STMicroelectronics,STMicroelectronics,testunkattr,Microcontroller,Microcontroller,Attr test MCU,,,"{""Weird Quantum Metric"": ""42"", ""frequency_hz"": ""50MHz""}",active,,https://www.st.com,,
TEST-MALFORMED,TESTMALFORMED,Yageo,Yageo,testmalformed,Resistor,Resistor,Resistor bad json,,,"[1, 2, 3]",active,,https://www.yageo.com,,
