category_id,raw_name,canonical_name,parent,level,seo_slug,legacy_l1_slug,status,tier
CAT-0058,布线快速连接式接线端子,布线快速连接式接线端子,连接器,2,connectors-electromechanical-lcsc-13410,connectors,active,B
CAT-0059,IC/晶体管插座,IC/晶体管插座,连接器,2,connectors-electromechanical-ic,connectors,active,B
CAT-0060,RF射频同轴连接器,RF射频同轴连接器,连接器,2,connectors-electromechanical-rf,connectors,active,B
CAT-0061,馈电/射频绝缘子,馈电/射频绝缘子,连接器,2,connectors-electromechanical-lcsc-13424,connectors,active,B
CAT-0062,音频连接器(耳机),音频连接器(耳机),连接器,2,connectors-electromechanical-lcsc-590,connectors,active,B
CAT-0063,莲花接口/RCA连接器,莲花接口/RCA连接器,连接器,2,connectors-electromechanical-rca,connectors,active,B
CAT-0064,SIM卡连接器,SIM卡连接器,连接器,2,connectors-electromechanical-sim,connectors,active,B
CAT-0065,SD卡/存储卡连接器,SD卡/存储卡连接器,连接器,2,connectors-electromechanical-sd,connectors,active,B
CAT-0066,以太网连接器(RJ45 RJ11),以太网连接器(RJ45 RJ11),连接器,2,connectors-electromechanical-rj45-rj11,connectors,active,B
CAT-0067,PCI/PCIe连接器,PCI/PCIe连接器,连接器,2,connectors-electromechanical-pci-pcie,connectors,active,B
CAT-0068,硬盘连接器(SAS/SATA/M.2),硬盘连接器(SAS/SATA/M.2),连接器,2,connectors-electromechanical-sas-sata-m-2,connectors,active,B
CAT-0069,内存条连接器(DDR),内存条连接器(DDR),连接器,2,connectors-electromechanical-ddr,connectors,active,B
CAT-0070,光模块连接器,光模块连接器,连接器,2,connectors-electromechanical-lcsc-13415,connectors,active,B
CAT-0071,金手指连接器,金手指连接器,连接器,2,connectors-electromechanical-lcsc-11083,connectors,active,B
CAT-0072,DC电源连接器,DC电源连接器,连接器,2,connectors-electromechanical-dc,connectors,active,B
CAT-0073,AC电源连接器,AC电源连接器,连接器,2,connectors-electromechanical-ac,connectors,active,B
CAT-0074,纽扣与条形电池连接器,纽扣与条形电池连接器,连接器,2,connectors-electromechanical-lcsc-462,connectors,active,B
CAT-0075,刀片/弹片接触电池连接器,刀片/弹片接触电池连接器,连接器,2,connectors-electromechanical-lcsc-13412,connectors,active,B
CAT-0076,光纤连接器,光纤连接器,连接器,2,connectors-electromechanical-lcsc-901,connectors,active,B
CAT-0077,短路帽/跳线帽,短路帽/跳线帽,连接器,2,connectors-electromechanical-lcsc-646,connectors,active,B
CAT-0078,插针/插孔,插针/插孔,连接器,2,connectors-electromechanical-lcsc-13411,connectors,active,B
CAT-0079,Pogo Pin弹簧探针连接器,Pogo Pin弹簧探针连接器,连接器,2,connectors-electromechanical-pogo-pin,connectors,active,B
CAT-0080,测试点/测试环,测试点/测试环,连接器,2,connectors-electromechanical-lcsc-11040,connectors,active,B
CAT-0081,圆形(线缆)连接器,圆形(线缆)连接器,连接器,2,connectors-electromechanical-lcsc-648,connectors,active,B
CAT-0082,圆形DIN连接器,圆形DIN连接器,连接器,2,connectors-electromechanical-din,connectors,active,B
CAT-0083,XLR(卡侬)连接器,XLR(卡侬)连接器,连接器,2,connectors-electromechanical-xlr,connectors,active,B
CAT-0084,连接器附件,连接器附件,连接器,2,connectors-electromechanical-lcsc-11034,connectors,active,B
CAT-0085,光伏(太阳能板)连接器,光伏(太阳能板)连接器,连接器,2,connectors-electromechanical-lcsc-11161,connectors,active,B
CAT-0086,连接器外壳,连接器外壳,连接器,2,connectors-electromechanical-lcsc-11079,connectors,active,B
CAT-0087,预售连接器,预售连接器,连接器,2,connectors-electromechanical-lcsc-11177,connectors,active,B
CAT-0088,电源连接器,电源连接器,预售连接器,3,connectors-electromechanical-lcsc-367,connectors,active,B
CAT-0089,杜邦线/端子排线,杜邦线/端子排线,预售连接器,3,connectors-electromechanical-lcsc-478,connectors,active,B
CAT-0090,射频连接线,射频连接线,预售连接器,3,connectors-electromechanical-lcsc-11331,connectors,active,B
CAT-0091,二极管,Semiconductors & Discrete,,1,semiconductors-discrete,semiconductor-components,active,A
CAT-0092,稳压二极管,稳压二极管,二极管,2,semiconductors-discrete-lcsc-321,semiconductor-components,active,B
CAT-0093,肖特基二极管,肖特基二极管,二极管,2,semiconductors-discrete-lcsc-373,semiconductor-components,active,B
CAT-0094,通用二极管,通用二极管,二极管,2,semiconductors-discrete-lcsc-370,semiconductor-components,active,B
CAT-0095,整流桥,整流桥,二极管,2,semiconductors-discrete-lcsc-375,semiconductor-components,active,B
CAT-0096,快恢复/高效率二极管,快恢复/高效率二极管,二极管,2,semiconductors-discrete-lcsc-372,semiconductor-components,active,B
CAT-0097,开关二极管,开关二极管,二极管,2,semiconductors-discrete-lcsc-377,semiconductor-components,active,B
CAT-0098,超势垒整流器(SBR),超势垒整流器(SBR),二极管,2,semiconductors-discrete-sbr,semiconductor-components,active,B
CAT-0099,变容二极管,变容二极管,二极管,2,semiconductors-discrete-lcsc-971,semiconductor-components,active,B
CAT-0100,雪崩二极管,雪崩二极管,二极管,2,semiconductors-discrete-lcsc-895,semiconductor-components,active,B
CAT-0101,触发二极管,触发二极管,二极管,2,semiconductors-discrete-lcsc-379,semiconductor-components,active,B
CAT-0102,PIN二极管,PIN二极管,二极管,2,semiconductors-discrete-pin,semiconductor-components,active,B
CAT-0103,静电和浪涌保护(TVS/ESD),静电和浪涌保护(TVS/ESD),PIN二极管,3,semiconductors-discrete-tvs-esd,semiconductor-components,active,B
CAT-0104,发光二极管/LED,发光二极管/LED,PIN二极管,3,semiconductors-discrete-led,semiconductor-components,active,B
CAT-0105,气体放电管(GDT),气体放电管(GDT),PIN二极管,3,semiconductors-discrete-gdt,semiconductor-components,active,B
CAT-0106,半导体放电管(TSS),半导体放电管(TSS),PIN二极管,3,semiconductors-discrete-tss,semiconductor-components,active,B
CAT-0107,玻璃放电管,玻璃放电管,PIN二极管,3,semiconductors-discrete-lcsc-11198,semiconductor-components,active,B
CAT-0108,碳化硅二极管,碳化硅二极管,PIN二极管,3,semiconductors-discrete-lcsc-13393,semiconductor-components,active,B
CAT-0109,电源管理,Power Management,,1,power-management,integrated-circuits,active,A
CAT-0110,功率因数校正(PFC)控制器,功率因数校正(PFC)控制器,电源管理,2,power-management-pfc,integrated-circuits,active,B
CAT-0111,同步整流控制器,同步整流控制器,电源管理,2,power-management-lcsc-13517,integrated-circuits,active,B
CAT-0112,快充协议芯片,快充协议芯片,电源管理,2,power-management-lcsc-13518,integrated-circuits,active,B
CAT-0113,理想二极管/ORing控制器,理想二极管/ORing控制器,电源管理,2,power-management-oring,integrated-circuits,active,B
CAT-0114,电源时序控制,电源时序控制,电源管理,2,power-management-lcsc-13520,integrated-circuits,active,B
CAT-0115,线性稳压器(LDO),线性稳压器(LDO),电源管理,2,power-management-ldo,integrated-circuits,active,B
CAT-0116,DC-DC电源芯片,DC-DC电源芯片,电源管理,2,power-management-dc-dc,integrated-circuits,active,B
CAT-0117,AC-DC控制器和稳压器,AC-DC控制器和稳压器,电源管理,2,power-management-ac-dc,integrated-circuits,active,B
CAT-0118,电压基准芯片,电压基准芯片,电源管理,2,power-management-lcsc-486,integrated-circuits,active,B
CAT-0119,电流源/恒流源,电流源/恒流源,电源管理,2,power-management-lcsc-11272,integrated-circuits,active,B
CAT-0120,电机驱动芯片,电机驱动芯片,电源管理,2,power-management-lcsc-611,integrated-circuits,active,B
CAT-0121,监控和复位芯片,监控和复位芯片,电源管理,2,power-management-lcsc-934,integrated-circuits,active,B
CAT-0122,漏电保护芯片,漏电保护芯片,电源管理,2,power-management-lcsc-13503,integrated-circuits,active,B
CAT-0123,功率电子开关,功率电子开关,电源管理,2,power-management-lcsc-969,integrated-circuits,active,B
CAT-0124,电池管理,电池管理,电源管理,2,power-management-lcsc-612,integrated-circuits,active,B
CAT-0125,以太网供电(PoE)控制器,以太网供电(PoE)控制器,电源管理,2,power-management-poe,integrated-circuits,active,B
CAT-0126,浪涌保护器,浪涌保护器,电源管理,2,power-management-lcsc-11314,integrated-circuits,active,B
CAT-0127,无线充放电芯片,无线充放电芯片,电源管理,2,power-management-lcsc-11273,integrated-circuits,active,B
CAT-0128,LED保护,LED保护,电源管理,2,power-management-led,integrated-circuits,active,B
CAT-0129,专业电源管理(PMIC),专业电源管理(PMIC),电源管理,2,power-management-pmic,integrated-circuits,active,B
CAT-0130,电荷泵,电荷泵,电源管理,2,power-management-lcsc-13474,integrated-circuits,active,B
CAT-0131,隔离式DC/DC转换器,隔离式DC/DC转换器,电源管理,2,power-management-dc-dc-13475,integrated-circuits,active,B
CAT-0132,隔离式栅极驱动器,隔离式栅极驱动器,电源管理,2,power-management-lcsc-13476,integrated-circuits,active,B
CAT-0133,变压器驱动器,变压器驱动器,电源管理,2,power-management-lcsc-13477,integrated-circuits,active,B
CAT-0134,电流感应放大器,电流感应放大器,变压器驱动器,3,power-management-lcsc-11261,integrated-circuits,active,B
CAT-0135,LED驱动,LED驱动,变压器驱动器,3,power-management-led-583,integrated-circuits,active,B
CAT-0136,栅极驱动芯片,栅极驱动芯片,变压器驱动器,3,power-management-lcsc-11065,integrated-circuits,active,B
CAT-0137,无刷直流(BLDC)电机驱动芯片,无刷直流(BLDC)电机驱动芯片,变压器驱动器,3,power-management-bldc,integrated-circuits,active,B
CAT-0138,有刷直流电机驱动芯片,有刷直流电机驱动芯片,变压器驱动器,3,power-management-lcsc-13506,integrated-circuits,active,B
CAT-0139,步进电机驱动芯片,步进电机驱动芯片,变压器驱动器,3,power-management-lcsc-13507,integrated-circuits,active,B
CAT-0140,继电器/线圈驱动芯片,继电器/线圈驱动芯片,变压器驱动器,3,power-management-lcsc-13508,integrated-circuits,active,B
CAT-0141,光电器件,Optoelectronics,,1,optoelectronics,,active,A
CAT-0142,发光二极管/LED,发光二极管/LED,光电器件,2,optoelectronics-led,,active,B
CAT-0143,紫外线LED(UVLED),紫外线LED(UVLED),光电器件,2,optoelectronics-led-uvled,,active,B
CAT-0144,COB光源,COB光源,光电器件,2,optoelectronics-cob,,active,B
CAT-0145,红外发射管,红外发射管,光电器件,2,optoelectronics-lcsc-639,,active,B
CAT-0146,光电晶体管,光电晶体管,光电器件,2,optoelectronics-lcsc-11291,,active,B
CAT-0147,红外遥控接收头(IRM),红外遥控接收头(IRM),光电器件,2,optoelectronics-irm,,active,B
CAT-0148,光电二极管,光电二极管,光电器件,2,optoelectronics-lcsc-451,,active,B
CAT-0149,激光二极管,激光二极管,光电器件,2,optoelectronics-lcsc-11292,,active,B
CAT-0150,光纤收发器,光纤收发器,光电器件,2,optoelectronics-lcsc-11132,,active,B
CAT-0151,IrDA红外收发模块,IrDA红外收发模块,光电器件,2,optoelectronics-irda,,active,B
CAT-0152,光电附件,光电附件,光电器件,2,optoelectronics-lcsc-958,,active,B
CAT-0153,RGB LED,RGB LED,光电器件,2,optoelectronics-rgb-led,,active,B
CAT-0154,RGB LED(内置IC),RGB LED(内置IC),光电器件,2,optoelectronics-rgb-led-ic,,active,B
CAT-0155,槽型光电开关(光电晶体管输出),槽型光电开关(光电晶体管输出),光电器件,2,optoelectronics-lcsc-457,,active,B
CAT-0156,反射式光电开关,反射式光电开关,光电器件,2,optoelectronics-lcsc-11278,,active,B
CAT-0157,槽型光电开关(逻辑输出),槽型光电开关(逻辑输出),反射式光电开关,3,optoelectronics-lcsc-11277,,active,B
CAT-0158,电感/线圈/变压器,Passive Components,,1,passive-components-316,passive-components,active,A
CAT-0159,贴片电感,贴片电感,电感/线圈/变压器,2,passive-components-lcsc-337,passive-components,active,B
CAT-0160,功率电感,功率电感,电感/线圈/变压器,2,passive-components-lcsc-544,passive-components,active,B
CAT-0161,一体成型电感,一体成型电感,电感/线圈/变压器,2,passive-components-lcsc-14722,passive-components,active,B
CAT-0162,色环/插件电感,色环/插件电感,电感/线圈/变压器,2,passive-components-lcsc-11245,passive-components,active,B
CAT-0163,互感器,互感器,电感/线圈/变压器,2,passive-components-lcsc-944,passive-components,active,B
CAT-0164,网口变压器,网口变压器,电感/线圈/变压器,2,passive-components-lcsc-543,passive-components,active,B
CAT-0165,无线充电线圈,无线充电线圈,电感/线圈/变压器,2,passive-components-lcsc-11243,passive-components,active,B
CAT-0166,电源变压器,电源变压器,电感/线圈/变压器,2,passive-components-lcsc-636,passive-components,active,B
CAT-0167,脉冲变压器,脉冲变压器,电感/线圈/变压器,2,passive-components-lcsc-11240,passive-components,active,B
CAT-0168,音频变压器,音频变压器,电感/线圈/变压器,2,passive-components-lcsc-11241,passive-components,active,B
CAT-0169,可调电感器,可调电感器,电感/线圈/变压器,2,passive-components-lcsc-11242,passive-components,active,B
CAT-0170,电感变压器附件,电感变压器附件,电感/线圈/变压器,2,passive-components-lcsc-11244,passive-components,active,B
CAT-0171,预售阻容感,预售阻容感,电感/线圈/变压器,2,passive-components-lcsc-11180,passive-components,active,B
CAT-0172,磁珠,磁珠,预售阻容感,3,passive-components-lcsc-527,passive-components,active,B
CAT-0173,开发板/开发工具,Development Tools & Boards,,1,development-tools-boards,,active,A
CAT-0174,开发板,开发板,开发板/开发工具,2,development-tools-boards-lcsc-11135,,active,B
CAT-0175,仿真器/烧录器,仿真器/烧录器,开发板/开发工具,2,development-tools-boards-lcsc-11136,,active,B
CAT-0176,书籍,书籍,开发板/开发工具,2,development-tools-boards-lcsc-534,,active,B
CAT-0177,洞洞板/面包板,洞洞板/面包板,开发板/开发工具,2,development-tools-boards-lcsc-11139,,active,B
CAT-0178,树莓派,树莓派,开发板/开发工具,2,development-tools-boards-lcsc-11152,,active,B
CAT-0179,创客教育套件,创客教育套件,开发板/开发工具,2,development-tools-boards-lcsc-11160,,active,B
CAT-0180,存储器,Memory,,1,memory,integrated-circuits,active,A
CAT-0181,EEPROM,EEPROM,存储器,2,memory-eeprom,integrated-circuits,active,B
CAT-0182,NOR FLASH,NOR FLASH,存储器,2,memory-nor-flash,integrated-circuits,active,B
CAT-0183,NAND FLASH,NAND FLASH,存储器,2,memory-nand-flash,integrated-circuits,active,B
CAT-0184,eMMC,eMMC,存储器,2,memory-emmc,integrated-circuits,active,B
CAT-0185,非易失性存储器(ROM),非易失性存储器(ROM),存储器,2,memory-rom,integrated-circuits,active,B
CAT-0186,随机存取存储器(RAM),随机存取存储器(RAM),存储器,2,memory-ram,integrated-circuits,active,B
CAT-0187,静态随机存取存储器(SRAM),静态随机存取存储器(SRAM),存储器,2,memory-sram,integrated-circuits,active,B
CAT-0188,动态随机存取存储器(DRAM),动态随机存取存储器(DRAM),存储器,2,memory-dram,integrated-circuits,active,B
CAT-0189,同步动态随机存取内存(SDRAM),同步动态随机存取内存(SDRAM),存储器,2,memory-sdram,integrated-circuits,active,B
CAT-0190,DDR SDRAM,DDR SDRAM,存储器,2,memory-ddr-sdram,integrated-circuits,active,B
CAT-0191,铁电存储器(FRAM),铁电存储器(FRAM),存储器,2,memory-fram,integrated-circuits,active,B
CAT-0192,UFS,UFS,存储器,2,memory-ufs,integrated-circuits,active,B
CAT-0193,SSRAM(同步静态),SSRAM(同步静态),存储器,2,memory-ssram,integrated-circuits,active,B
CAT-0194,PSRAM(伪静态),PSRAM(伪静态),存储器,2,memory-psram,integrated-circuits,active,B
CAT-0195,nvSRAM(掉电保持),nvSRAM(掉电保持),存储器,2,memory-nvsram,integrated-circuits,active,B
CAT-0196,iButton纽扣状存储器,iButton纽扣状存储器,存储器,2,memory-ibutton,integrated-circuits,active,B
CAT-0197,字库芯片,字库芯片,存储器,2,memory-lcsc-858,integrated-circuits,active,B
CAT-0198,存储器控制器,存储器控制器,存储器,2,memory-lcsc-11263,integrated-circuits,active,B
CAT-0199,FPGA配置用存储器,FPGA配置用存储器,存储器,2,memory-fpga,integrated-circuits,active,B
CAT-0200,多芯片封装存储器,多芯片封装存储器,存储器,2,memory-lcsc-11265,integrated-circuits,active,B
CAT-0201,传感器,Sensors,,1,sensors,sensors,active,A
CAT-0202,压力传感器,压力传感器,传感器,2,sensors-lcsc-11046,sensors,active,B
CAT-0203,传感器模块,传感器模块,传感器,2,sensors-lcsc-11047,sensors,active,B
CAT-0204,力传感器与测压元件,力传感器与测压元件,传感器,2,sensors-lcsc-11153,sensors,active,B
CAT-0205,心率传感器,心率传感器,传感器,2,sensors-lcsc-11498,sensors,active,B
CAT-0206,流量传感器,流量传感器,传感器,2,sensors-lcsc-12445,sensors,active,B
CAT-0207,差压传感器,差压传感器,传感器,2,sensors-lcsc-13386,sensors,active,B
CAT-0208,PM2.5传感器,PM2.5传感器,传感器,2,sensors-pm2-5,sensors,active,B
CAT-0209,气体流量传感器,气体流量传感器,传感器,2,sensors-lcsc-13388,sensors,active,B
CAT-0210,VOC传感器,VOC传感器,传感器,2,sensors-voc,sensors,active,B
CAT-0211,电容传感IC,电容传感IC,传感器,2,sensors-ic,sensors,active,B
CAT-0212,NTC热敏电阻,NTC热敏电阻,传感器,2,sensors-ntc,sensors,active,B
CAT-0213,PTC热敏电阻,PTC热敏电阻,传感器,2,sensors-ptc,sensors,active,B
CAT-0214,温控开关,温控开关,传感器,2,sensors-lcsc-11024,sensors,active,B
CAT-0215,温度传感器,温度传感器,传感器,2,sensors-lcsc-585,sensors,active,B
CAT-0216,振动传感器,振动传感器,传感器,2,sensors-lcsc-11281,sensors,active,B
CAT-0217,图像传感器,图像传感器,传感器,2,sensors-lcsc-587,sensors,active,B
CAT-0218,光敏电阻,光敏电阻,传感器,2,sensors-lcsc-551,sensors,active,B
CAT-0219,槽型光电开关(逻辑输出),槽型光电开关(逻辑输出),传感器,2,sensors-lcsc-11277,sensors,active,B
CAT-0220,环境光传感器,环境光传感器,传感器,2,sensors-lcsc-923,sensors,active,B
CAT-0221,光纤/激光传感器,光纤/激光传感器,传感器,2,sensors-lcsc-11093,sensors,active,B
CAT-0222,触摸芯片,触摸芯片,传感器,2,sensors-lcsc-902,sensors,active,B
CAT-0223,位置传感器,位置传感器,传感器,2,sensors-lcsc-11123,sensors,active,B
CAT-0224,姿态传感器/陀螺仪,姿态传感器/陀螺仪,传感器,2,sensors-lcsc-588,sensors,active,B
CAT-0225,温湿度传感器,温湿度传感器,传感器,2,sensors-lcsc-922,sensors,active,B
CAT-0226,气体传感器,气体传感器,传感器,2,sensors-lcsc-11044,sensors,active,B
CAT-0227,液位传感器,液位传感器,传感器,2,sensors-lcsc-11279,sensors,active,B
CAT-0228,人体感应传感器,人体感应传感器,传感器,2,sensors-lcsc-11283,sensors,active,B
CAT-0229,超声波收发器,超声波收发器,传感器,2,sensors-lcsc-11146,sensors,active,B
CAT-0230,接近传感器,接近传感器,传感器,2,sensors-lcsc-11284,sensors,active,B
CAT-0231,专用传感器,专用传感器,传感器,2,sensors-lcsc-11092,sensors,active,B
CAT-0232,线性霍尔传感器,线性霍尔传感器,专用传感器,3,sensors-lcsc-11086,sensors,active,B
CAT-0233,电流传感器,电流传感器,专用传感器,3,sensors-lcsc-11095,sensors,active,B
CAT-0234,霍尔开关,霍尔开关,专用传感器,3,sensors-lcsc-13513,sensors,active,B
CAT-0235,3D磁传感器,3D磁传感器,专用传感器,3,sensors-3d,sensors,active,B
CAT-0236,磁性角度传感器,磁性角度传感器,专用传感器,3,sensors-lcsc-13512,sensors,active,B
CAT-0237,干簧管,干簧管,专用传感器,3,sensors-lcsc-13515,sensors,active,B
CAT-0238,继电器,Connectors & Electromechanical,,1,connectors-electromechanical-11304,connectors,active,A
CAT-0239,功率继电器,功率继电器,继电器,2,connectors-electromechanical-lcsc-531,connectors,active,B
CAT-0240,信号继电器,信号继电器,继电器,2,connectors-electromechanical-lcsc-11305,connectors,active,B
CAT-0241,磁保持继电器,磁保持继电器,继电器,2,connectors-electromechanical-lcsc-11306,connectors,active,B
CAT-0242,汽车继电器,汽车继电器,继电器,2,connectors-electromechanical-lcsc-11307,connectors,active,B
CAT-0243,簧片继电器,簧片继电器,继电器,2,connectors-electromechanical-lcsc-11308,connectors,active,B
CAT-0244,继电器插座及配件,继电器插座及配件,继电器,2,connectors-electromechanical-lcsc-11121,connectors,active,B
CAT-0245,高频/RF继电器,高频/RF继电器,继电器,2,connectors-electromechanical-rf-13482,connectors,active,B
CAT-0246,功能模块,Modules & Communication,,1,modules-communication,modules,active,A
CAT-0247,音视频模块,音视频模块,功能模块,2,modules-communication-lcsc-11230,modules,active,B
CAT-0248,电机驱动模块,电机驱动模块,功能模块,2,modules-communication-lcsc-11231,modules,active,B
CAT-0249,其他模块,其他模块,功能模块,2,modules-communication-lcsc-959,modules,active,B
CAT-0250,LED数码管,LED数码管,其他模块,3,modules-communication-led,modules,active,B
CAT-0251,传感器模块,传感器模块,其他模块,3,modules-communication-lcsc-11047,modules,active,B
CAT-0252,AC-DC电源模块,AC-DC电源模块,其他模块,3,modules-communication-ac-dc,modules,active,B
CAT-0253,DC-DC电源模块,DC-DC电源模块,其他模块,3,modules-communication-dc-dc,modules,active,B
CAT-0254,隔离电源模块,隔离电源模块,其他模块,3,modules-communication-lcsc-13487,modules,active,B
CAT-0255,DC-AC模块(逆变器),DC-AC模块(逆变器),其他模块,3,modules-communication-dc-ac,modules,active,B
CAT-0256,物联网/通信模块,Modules & Communication,,1,modules-communication-938,modules,active,A
CAT-0257,USB转换模块,USB转换模块,物联网/通信模块,2,modules-communication-usb,modules,active,B
CAT-0258,RFID模块,RFID模块,物联网/通信模块,2,modules-communication-rfid,modules,active,B
CAT-0259,2G/3G/4G/5G模块,2G/3G/4G/5G模块,物联网/通信模块,2,modules-communication-2g-3g-4g-5g,modules,active,B
CAT-0260,LoRa模块,LoRa模块,物联网/通信模块,2,modules-communication-lora,modules,active,B
CAT-0261,ZigBee模块,ZigBee模块,物联网/通信模块,2,modules-communication-zigbee,modules,active,B
CAT-0262,蓝牙模块,蓝牙模块,物联网/通信模块,2,modules-communication-lcsc-11225,modules,active,B
