raw_name,canonical_brand,manufacturer_id,status,tier,match_method
A.O.SMITH(史密斯),A.O.SMITH(史密斯),MFR-00014,candidate,B,new
"ADLINK Technology, Inc.","ADLINK Technology, Inc.",MFR-00029,candidate,B,new
ANGEL(安吉尔),ANGEL(安吉尔),MFR-00085,candidate,B,new
Aimtec,Aimtec,MFR-00167,candidate,B,new
Asmik(米科),Asmik(米科),MFR-00226,candidate,B,new
AD Semiconductor,AD Semiconductor,MFR-00023,candidate,B,new
ARKLED(方舟),ARKLED(方舟),MFR-00118,candidate,B,new
ABRACON,ABRACON,MFR-00020,candidate,B,new
APSEMI(先进光),APSEMI(先进光),MFR-00111,candidate,B,new
ANTENK(安泰珂),ANTENK(安泰珂),MFR-00090,candidate,B,new
AKUSENSE(明治传感),AKUSENSE(明治传感),MFR-00057,candidate,B,new
ALLEGRO(美国埃戈罗),ALLEGRO(美国埃戈罗),MFR-00062,candidate,B,new
ANPEC(茂达电子),ANPEC(茂达电子),MFR-00088,candidate,B,new
安美尚,安美尚,MFR-03663,review,A,new
安赛瑞,安赛瑞,MFR-03664,review,A,new
alpha(阿尔法),alpha(阿尔法),MFR-03420,candidate,B,new
ASIX(亚信),ASIX(亚信),MFR-00124,candidate,B,new
AutoChips(杰发科技),AutoChips(杰发科技),MFR-00238,candidate,B,new
ADTEK,ADTEK,MFR-00030,candidate,B,new
Artinchip(匠芯创),Artinchip(匠芯创),MFR-00223,candidate,B,new
AXE(斧頭牌),AXE(斧頭牌),MFR-00146,candidate,B,new
Artesyn(雅特生科技),Artesyn(雅特生科技),MFR-00222,candidate,B,new
Ampleon(安谱隆),Ampleon(安谱隆),MFR-00195,candidate,B,new
arduino,arduino,MFR-03423,candidate,B,new
Automation Components,Automation Components,MFR-00239,candidate,B,new
AGM(遨格芯微),AGM(遨格芯微),MFR-00038,candidate,B,new
Anlogic(安路科技),Anlogic(安路科技),MFR-00206,candidate,B,new
ametherm,ametherm,MFR-03421,candidate,B,new
Adafruit,Adafruit,MFR-00158,candidate,B,new
AWINIC(艾为),AWINIC(艾为),MFR-00145,candidate,B,new
APEX,APEX,MFR-00104,review,A,new
Advanced Analog Technology(类比),Advanced Analog Technology(类比),MFR-00160,candidate,B,new
Acopian Power Supplies,Acopian Power Supplies,MFR-00155,candidate,B,new
Axelite(亚瑟莱特),Axelite(亚瑟莱特),MFR-00243,candidate,B,new
ARM,ARM,MFR-00119,review,A,new
AUO(友达光电),AUO(友达光电),MFR-00140,candidate,B,new
Aeonsemi(南京益昂),Aeonsemi(南京益昂),MFR-00163,candidate,B,new
Auer Signal,Auer Signal,MFR-00234,candidate,B,new
AMERI MATION,AMERI MATION,MFR-00073,candidate,B,new
Aurtron(欧创智能),Aurtron(欧创智能),MFR-00236,candidate,B,new
ADATA(威刚),ADATA(威刚),MFR-00025,candidate,B,new
AFE(爱福),AFE(爱福),MFR-00036,candidate,B,new
ATLANTIC(大西洋),ATLANTIC(大西洋),MFR-00135,candidate,B,new
ASUS(华硕),ASUS(华硕),MFR-00130,candidate,B,new
aier(艾尔),aier(艾尔),MFR-03418,candidate,B,new
AOSIBANG(奥斯邦),AOSIBANG(奥斯邦),MFR-00095,candidate,B,new
ANCHOW(安巢),ANCHOW(安巢),MFR-00083,candidate,B,new
Abbotec. Incorporated,Abbotec. Incorporated,MFR-00149,candidate,B,new
ADVANCED THERMAL SOLUTIONS,ADVANCED THERMAL SOLUTIONS,MFR-00031,candidate,B,new
API TECHNOLOGIES CORP,API TECHNOLOGIES CORP,MFR-00107,candidate,B,new
APT,APT,MFR-00112,review,A,new
ANFANG(安防),ANFANG(安防),MFR-00084,candidate,B,new
AKS(艾科思),AKS(艾科思),MFR-00056,candidate,B,new
API Delevan,API Delevan,MFR-00106,candidate,B,new
Antenova,Antenova,MFR-00211,candidate,B,new
Anker(安克),Anker(安克),MFR-00205,candidate,B,new
APM Hexseal,APM Hexseal,MFR-00108,candidate,B,new
Astro Tool Corp,Astro Tool Corp,MFR-00228,candidate,B,new
Astrodyne TDI,Astrodyne TDI,MFR-00229,candidate,B,new
Anpztai(安普正泰),Anpztai(安普正泰),MFR-00207,candidate,B,new
AIRXUN(艾尔迅),AIRXUN(艾尔迅),MFR-00050,candidate,B,new
ADVANTECH(研华科技),ADVANTECH(研华科技),MFR-00032,candidate,B,new
Adels-Contact,Adels-Contact,MFR-00159,candidate,B,new
Advanced Energy,Advanced Energy,MFR-00161,candidate,B,new
APAQ(钰邦),APAQ(钰邦),MFR-00101,candidate,B,new
AirBorn,AirBorn,MFR-00168,candidate,B,new
AIM,AIM,MFR-00044,review,A,new
Altech,Altech,MFR-00182,candidate,B,new
American Electrical Inc.,American Electrical Inc.,MFR-00187,candidate,B,new
Alorium,Alorium,MFR-00178,candidate,B,new
Alpha Wire,Alpha Wire,MFR-00180,candidate,B,new
"Amgis, LLC","Amgis, LLC",MFR-00190,candidate,B,new
Amulet Technologies,Amulet Technologies,MFR-00197,candidate,B,new
American Micro Products,American Micro Products,MFR-00188,candidate,B,new
AOTE(奥特),AOTE(奥特),MFR-00097,candidate,B,new
AP(友盟),AP(友盟),MFR-00100,candidate,B,new
anbai(安柏),anbai(安柏),MFR-03422,candidate,B,new
AIP(艾普欧盛),AIP(艾普欧盛),MFR-00045,candidate,B,new
ALD,ALD,MFR-00059,review,A,new
Archiwave(安其威),Archiwave(安其威),MFR-00216,candidate,B,new
AWG Tech,AWG Tech,MFR-00144,candidate,B,new
Amtery,Amtery,MFR-00196,candidate,B,new
AEI,AEI,MFR-00033,review,A,new
ABC(千如),ABC(千如),MFR-00017,candidate,B,new
ASSEMSTAR(聚迹),ASSEMSTAR(聚迹),MFR-00128,candidate,B,new
Avery Dennison,Avery Dennison,MFR-00242,candidate,B,new
AnBon(安邦),AnBon(安邦),MFR-00198,candidate,B,new
爱仕达,爱仕达,MFR-03752,review,A,new
Alpha(艾华),Alpha(艾华),MFR-00181,candidate,B,new
Acelamicro(迅芯微),Acelamicro(迅芯微),MFR-00154,candidate,B,new
ASSMANN,ASSMANN,MFR-00129,candidate,B,new
American Opto Plus LED,American Opto Plus LED,MFR-00189,candidate,B,new
ACMECON(鼎容),ACMECON(鼎容),MFR-00021,candidate,B,new
API,API,MFR-00105,review,A,new
ATLAS,ATLAS,MFR-00136,candidate,B,new
ASI Semiconductor,ASI Semiconductor,MFR-00123,candidate,B,new
Avalanche Technology,Avalanche Technology,MFR-00241,candidate,B,new
aconno,aconno,MFR-03417,candidate,B,new
LINKEYCON(联盈控),LINKEYCON(联盈控),MFR-01706,candidate,B,new
Axetris,Axetris,MFR-00244,candidate,B,new
AT(爱途),AT(爱途),MFR-00131,candidate,B,new
Apmemory,Apmemory,MFR-00213,candidate,B,new
ANSILIC(国科安芯),ANSILIC(国科安芯),MFR-00089,candidate,B,new
ARCUS(亚擎),ARCUS(亚擎),MFR-00115,candidate,B,new
APEM,APEM,MFR-00103,review,A,new
ASJ,ASJ,MFR-00125,review,A,new
ATOM(爱特姆),ATOM(爱特姆),MFR-00137,candidate,B,new
Amphenol/Positronic,Amphenol/Positronic,MFR-00194,candidate,B,new
asta(爱斯达),asta(爱斯达),MFR-03424,candidate,B,new
ATE ELECTRONICS SRL,ATE ELECTRONICS SRL,MFR-00132,candidate,B,new
AGMSEMI(芯控源),AGMSEMI(芯控源),MFR-00039,candidate,B,new
American Bright,American Bright,MFR-00186,candidate,B,new
AVIA(海芯科技),AVIA(海芯科技),MFR-00143,candidate,B,new
AMAZING(晶焱),AMAZING(晶焱),MFR-00068,candidate,B,new
AMPAK(正基科技),AMPAK(正基科技),MFR-00079,candidate,B,new
Allied Components International,Allied Components International,MFR-00173,candidate,B,new
APM(永源微电子),APM(永源微电子),MFR-00109,candidate,B,new
A4TECH(双飞燕),A4TECH(双飞燕),MFR-00015,candidate,B,new
Abham(亚博汉),Abham(亚博汉),MFR-00150,candidate,B,new
Actuonix Motion Devices Inc,Actuonix Motion Devices Inc,MFR-00157,candidate,B,new
"Altran Magnetics, LLC","Altran Magnetics, LLC",MFR-00183,candidate,B,new
AF(晶岳),AF(晶岳),MFR-00035,candidate,B,new
Audiowell(奥迪威),Audiowell(奥迪威),MFR-00233,candidate,B,new
ALJ(龙晶微),ALJ(龙晶微),MFR-00061,candidate,B,new
AIFEN(爱风),AIFEN(爱风),MFR-00043,candidate,B,new
ANLIXIN(安立信),ANLIXIN(安立信),MFR-00087,candidate,B,new
Amphenol,Amphenol,MFR-00193,active,A,seed_alias
Aavid,Aavid,MFR-00148,candidate,B,new
APV(爱普微),APV(爱普微),MFR-00113,candidate,B,new
A-crystal(一晶),A-crystal(一晶),MFR-00013,candidate,B,new
Azumo,Azumo,MFR-00246,candidate,B,new
Artaflex,Artaflex,MFR-00221,candidate,B,new
Astera,Astera,MFR-00227,candidate,B,new
ArkX,ArkX,MFR-00220,candidate,B,new
Atop,Atop,MFR-00231,candidate,B,new
ATP,ATP,MFR-00138,review,A,new
ATGBICS,ATGBICS,MFR-00133,candidate,B,new
AUPO(雅宝),AUPO(雅宝),MFR-00141,candidate,B,new
Aries,Aries,MFR-00219,candidate,B,new
ARCH,ARCH,MFR-00114,review,A,new
Analog,Analog,MFR-00201,candidate,B,new
AnDAPT,AnDAPT,MFR-00199,candidate,B,new
ANYSOLAR,ANYSOLAR,MFR-00092,candidate,B,new
爱宝莱,爱宝莱,MFR-03753,review,A,new
AOC,AOC,MFR-00093,review,A,new
AMOTECH(阿莫泰克),AMOTECH(阿莫泰克),MFR-00078,candidate,B,new
Aero,Aero,MFR-00164,candidate,B,new
Atlanta Micro Inc.,Atlanta Micro Inc.,MFR-00230,candidate,B,new
AP,AP,MFR-00098,review,A,new
Accelerated Memory Production,Accelerated Memory Production,MFR-00151,candidate,B,new
AIC tech,AIC tech,MFR-00041,candidate,B,new
Airgain,Airgain,MFR-00169,candidate,B,new
AK-NORD,AK-NORD,MFR-00052,candidate,B,new
Alchemy,Alchemy,MFR-00170,candidate,B,new
Allied Vision,Allied Vision,MFR-00174,candidate,B,new
Ambiq Micro,Ambiq Micro,MFR-00185,candidate,B,new
AMEC Thermasol,AMEC Thermasol,MFR-00072,candidate,B,new
好帮手,好帮手,MFR-03658,review,A,new
Azoteq,Azoteq,MFR-00245,candidate,B,new
ARK(方舟微),ARK(方舟微),MFR-00117,candidate,B,new
AS ONE(亚速旺),AS ONE(亚速旺),MFR-00121,candidate,B,new
Allwinner(全志),Allwinner(全志),MFR-00176,candidate,B,new
ALLPOWER(铨力),ALLPOWER(铨力),MFR-00063,candidate,B,new
ABOV(现代),ABOV(现代),MFR-00019,candidate,B,new
Arcol(艾高),Arcol(艾高),MFR-00217,candidate,B,new
Ai-Thinker(安信可),Ai-Thinker(安信可),MFR-00166,candidate,B,new
AEM,AEM,MFR-00034,review,A,new
ACX(璟德),ACX(璟德),MFR-00022,candidate,B,new
AntennaHome(德诺菲),AntennaHome(德诺菲),MFR-00210,candidate,B,new
AIBEIHU(爱备护),AIBEIHU(爱备护),MFR-00040,candidate,B,new
ALPSALPINE(阿尔卑斯阿尔派),ALPSALPINE(阿尔卑斯阿尔派),MFR-00065,candidate,B,new
AIRMATE(艾美特),AIRMATE(艾美特),MFR-00048,candidate,B,new
Allsensing,Allsensing,MFR-00175,candidate,B,new
Ashining(泽耀科技),Ashining(泽耀科技),MFR-00225,candidate,B,new
AIPU(爱谱华顿),AIPU(爱谱华顿),MFR-00046,candidate,B,new
Amicc(欧密格光电),Amicc(欧密格光电),MFR-00191,candidate,B,new
AIRTAC(亚德客),AIRTAC(亚德客),MFR-00049,candidate,B,new
AMICO(埃美柯),AMICO(埃美柯),MFR-00076,candidate,B,new
AnaSem(安纳森),AnaSem(安纳森),MFR-00200,candidate,B,new
ArduSimple,ArduSimple,MFR-00218,candidate,B,new
ARGOSY(优群),ARGOSY(优群),MFR-00116,candidate,B,new
ASMEDIA(祥硕),ASMEDIA(祥硕),MFR-00126,candidate,B,new
ASR,ASR,MFR-00127,review,A,new
ABB,ABB,MFR-00016,review,A,new
Alliance Memory,Alliance Memory,MFR-00172,candidate,B,new
ANHI(安海),ANHI(安海),MFR-00086,candidate,B,new
Aoste(奥斯特),Aoste(奥斯特),MFR-00212,candidate,B,new
ASDsemi(安森德),ASDsemi(安森德),MFR-00122,candidate,B,new
ARTERY(雅特力),ARTERY(雅特力),MFR-00120,candidate,B,new
中科潞安,中科潞安,MFR-03584,candidate,B,new
ADI(亚德诺),ADI(亚德诺),MFR-00026,candidate,B,new
ANALOGT(芯景),ANALOGT(芯景),MFR-00082,candidate,B,new
APEC(富鼎),APEC(富鼎),MFR-00102,candidate,B,new
AOS,Alpha & Omega Semiconductor,MFR-00179,active,A,seed_alias
Ansell(安司耳),Ansell(安司耳),MFR-00208,candidate,B,new
Advanced Monolithic Systems,Advanced Monolithic Systems,MFR-00162,active,A,seed_alias
AMD(超微),AMD(超微),MFR-00069,candidate,B,new
AME(安茂微),AME(安茂微),MFR-00071,candidate,B,new
Artmem(妙存),Artmem(妙存),MFR-00224,candidate,B,new
AG(安固),AG(安固),MFR-00037,candidate,B,new
AOFENG(奥峰),AOFENG(奥峰),MFR-00094,candidate,B,new
隔空科技,隔空科技,MFR-03823,candidate,B,new
AUX(奥克斯),AUX(奥克斯),MFR-00142,candidate,B,new
Ansell(安思尔),Ansell(安思尔),MFR-00209,candidate,B,new
Aurasemi(宁波奥拉),Aurasemi(宁波奥拉),MFR-00235,candidate,B,new
Acrel(安科瑞),Acrel(安科瑞),MFR-00156,candidate,B,new
AMMEX(爱马斯),AMMEX(爱马斯),MFR-00077,candidate,B,new
A-BF(不凡),A-BF(不凡),MFR-00012,candidate,B,new
合肥智感,合肥智感,MFR-03636,candidate,B,new
BOYANG(博扬),BOYANG(博扬),MFR-00323,candidate,B,new
BEIDA JADE BIRD(北大青鸟),BEIDA JADE BIRD(北大青鸟),MFR-00281,candidate,B,new
Bulgin,Bulgin,MFR-00390,candidate,B,new
BAOTER(宝特),BAOTER(宝特),MFR-00269,candidate,B,new
BALLUFF,BALLUFF,MFR-00263,candidate,B,new
宝工,宝工,MFR-03666,review,A,new
BEST(倍思特),BEST(倍思特),MFR-00291,candidate,B,new
BAIPUFAMEN(百普阀门),BAIPUFAMEN(百普阀门),MFR-00261,candidate,B,new
BYD(比亚迪),BYD(比亚迪),MFR-00335,candidate,B,new
Bergquist(贝格斯),Bergquist(贝格斯),MFR-00356,candidate,B,new
BHFUSE(佰宏),BHFUSE(佰宏),MFR-00294,candidate,B,new
巴丁微,巴丁微,MFR-03672,review,A,new
BLUE-POINT(蓝点),BLUE-POINT(蓝点),MFR-00308,candidate,B,new
Beckhoff(德国倍福),Beckhoff(德国倍福),MFR-00347,candidate,B,new
BeRex,BeRex,MFR-00344,candidate,B,new
Bambu-Lab(拓竹),Bambu-Lab(拓竹),MFR-00341,candidate,B,new
BERENT(百锐),BERENT(百锐),MFR-00287,candidate,B,new
BAIYI(佰益),BAIYI(佰益),MFR-00262,candidate,B,new
BOYAMICRO(博雅),BOYAMICRO(博雅),MFR-00322,candidate,B,new
BUTIAN(补天),BUTIAN(补天),MFR-00333,candidate,B,new
BOSEAN(保时安),BOSEAN(保时安),MFR-00318,candidate,B,new
BLF(宝利丰),BLF(宝利丰),MFR-00306,candidate,B,new
白云清洁,白云清洁,MFR-03762,candidate,B,new
BAIGE(百舸),BAIGE(百舸),MFR-00256,candidate,B,new
Boréas Technologies,Boréas Technologies,MFR-00369,candidate,B,new
比力登,比力登,MFR-03729,review,A,new
brother(兄弟),brother(兄弟),MFR-03430,candidate,B,new
BOURNS,Bourns,MFR-00374,active,A,seed_alias
Bossie(博锡),Bossie(博锡),MFR-00371,candidate,B,new
BERNSTEIN,BERNSTEIN,MFR-00288,candidate,B,new
BZXC(博众新材),BZXC(博众新材),MFR-00339,candidate,B,new
Bolton Technical,Bolton Technical,MFR-00367,candidate,B,new
Boarden(宝宫),Boarden(宝宫),MFR-00366,candidate,B,new
BOOMELE(博穆精密),BOOMELE(博穆精密),MFR-00317,candidate,B,new
BOFANG(渤防),BOFANG(渤防),MFR-00315,candidate,B,new
BANGCHEAN(伴车安),BANGCHEAN(伴车安),MFR-00265,candidate,B,new
BAIMA(百马),BAIMA(百马),MFR-00260,candidate,B,new
BNstar(比诺星),BNstar(比诺星),MFR-00311,candidate,B,new
BS CABLE(宝胜电缆),BS CABLE(宝胜电缆),MFR-00332,candidate,B,new
BOCHEN(博晨),BOCHEN(博晨),MFR-00313,candidate,B,new
Belimo,Belimo,MFR-00349,candidate,B,new
BOTHHAND(帛汉),BOTHHAND(帛汉),MFR-00321,candidate,B,new
B-LINK(必联),B-LINK(必联),MFR-00251,candidate,B,new
BPM Microsystems,BPM Microsystems,MFR-00326,candidate,B,new
BK(百事德),BK(百事德),MFR-00302,candidate,B,new
BYSTON(栢士德),BYSTON(栢士德),MFR-00336,candidate,B,new
BEMCOT(旭化成),BEMCOT(旭化成),MFR-00286,candidate,B,new
BOAN(宝安电缆),BOAN(宝安电缆),MFR-00312,candidate,B,new
BOYARD(博阳),BOYARD(博阳),MFR-00324,candidate,B,new
Burndy,Burndy,MFR-00391,candidate,B,new
BESTAR ELECTRONICS,BESTAR ELECTRONICS,MFR-00292,candidate,B,new
BXCONN(宝讯),BXCONN(宝讯),MFR-00334,candidate,B,new
BEIJILANG(北极狼),BEIJILANG(北极狼),MFR-00282,candidate,B,new
baizou(百洲),baizou(百洲),MFR-03425,candidate,B,new
BAOFENG(宝锋),BAOFENG(宝锋),MFR-00266,candidate,B,new
BIYAZI(毕亚兹),BIYAZI(毕亚兹),MFR-00301,candidate,B,new
BZCN(博众电气),BZCN(博众电气),MFR-00338,candidate,B,new
BM(丰明电容),BM(丰明电容),MFR-00310,candidate,B,new
B&T(博安通),B&T(博安通),MFR-00250,candidate,B,new
BAIJIA(百佳),BAIJIA(百佳),MFR-00257,candidate,B,new
倍立洁,倍立洁,MFR-03599,review,A,new
BenQ(明基),BenQ(明基),MFR-00352,candidate,B,new
BAIDAXING(佰达兴),BAIDAXING(佰达兴),MFR-00255,candidate,B,new
BELO&PRAC(贝洛可),BELO&PRAC(贝洛可),MFR-00285,candidate,B,new
BAIJIAHAOSHI(百家好世),BAIJIAHAOSHI(百家好世),MFR-00258,candidate,B,new
belfuse,belfuse,MFR-03428,candidate,B,new
Bud Industries,Bud Industries,MFR-00389,candidate,B,new
BEHLKE,BEHLKE,MFR-00280,candidate,B,new
BusBoard Prototype Systems,BusBoard Prototype Systems,MFR-00392,candidate,B,new
Basler,Basler,MFR-00343,candidate,B,new
BeagleBoard.org,BeagleBoard.org,MFR-00346,candidate,B,new
"B&B SmartWorx, Inc.","B&B SmartWorx, Inc.",MFR-00247,candidate,B,new
B&K Precision,B&K Precision,MFR-00249,candidate,B,new
Brady Corporation,Brady Corporation,MFR-00375,candidate,B,new
Bridgetek,Bridgetek,MFR-00380,candidate,B,new
Belden,Belden,MFR-00348,candidate,B,new
BLACKDEER(黑鹿),BLACKDEER(黑鹿),MFR-00305,candidate,B,new
BROADCHIP(广芯电子),BROADCHIP(广芯电子),MFR-00331,candidate,B,new
BC(台湾诚阳),BC(台湾诚阳),MFR-00275,candidate,B,new
Bruckewell(隽佾),Bruckewell(隽佾),MFR-00388,candidate,B,new
"Bright Toward Industrial Co., Ltd.","Bright Toward Industrial Co., Ltd.",MFR-00381,candidate,B,new
BEFON(得印),BEFON(得印),MFR-00279,candidate,B,new
BLUESTAR(蓝星),BLUESTAR(蓝星),MFR-00309,candidate,B,new
Breeze(清风),Breeze(清风),MFR-00377,candidate,B,new
BIWIN(佰维),BIWIN(佰维),MFR-00299,candidate,B,new
BQ CABLE,BQ CABLE,MFR-00328,candidate,B,new
BABO(斑布),BABO(斑布),MFR-00253,candidate,B,new
佰捷,佰捷,MFR-03597,review,A,new
BEIXUNZE(贝迅泽),BEIXUNZE(贝迅泽),MFR-00283,candidate,B,new
bluemoon(蓝月亮),bluemoon(蓝月亮),MFR-03429,candidate,B,new
Broadcom(博通),Broadcom(博通),MFR-00385,candidate,B,new
BKMAMLAB(比克曼生物),BKMAMLAB(比克曼生物),MFR-00303,candidate,B,new
Beyond LED Technology,Beyond LED Technology,MFR-00360,candidate,B,new
Bridgee(企桥),Bridgee(企桥),MFR-00378,candidate,B,new
BAOHE(宝合),BAOHE(宝合),MFR-00267,candidate,B,new
Binder-USA(宾德),Binder-USA(宾德),MFR-00361,candidate,B,new
Bencent(槟城),Bencent(槟城),MFR-00353,candidate,B,new
Bessx(贝禧),Bessx(贝禧),MFR-00357,candidate,B,new
BingZi(兵字),BingZi(兵字),MFR-00362,candidate,B,new
Bettertree(树上科技),Bettertree(树上科技),MFR-00359,candidate,B,new
BAOPAI(宝牌),BAOPAI(宝牌),MFR-00268,candidate,B,new
BASEUS(倍思),BASEUS(倍思),MFR-00270,candidate,B,new
BLUE ROCKET(蓝箭),BLUE ROCKET(蓝箭),MFR-00307,candidate,B,new
BONSDA(邦斯达),BONSDA(邦斯达),MFR-00316,candidate,B,new
Bennic(敬业电子),Bennic(敬业电子),MFR-00355,candidate,B,new
BRIGHT(博瑞泰),BRIGHT(博瑞泰),MFR-00329,candidate,B,new
BBJ,BBJ,MFR-00274,review,A,new
BINGKUN(炳坤塑业),BINGKUN(炳坤塑业),MFR-00296,candidate,B,new
Banner,Banner,MFR-00342,candidate,B,new
B&J,B&J,MFR-00248,review,A,new
B4,B4,MFR-00252,review,A,new
BECOM,BECOM,MFR-00278,candidate,B,new
BDNC,BDNC,MFR-00277,review,A,new
Beacon,Beacon,MFR-00345,candidate,B,new
Brightking(君耀电子),Brightking(君耀电子),MFR-00382,candidate,B,new
BAN DING(坂町),BAN DING(坂町),MFR-00264,candidate,B,new
BRK(珀瑞克),BRK(珀瑞克),MFR-00330,candidate,B,new
BOSI(波斯),BOSI(波斯),MFR-00319,candidate,B,new
BIWIN(百莹),BIWIN(百莹),MFR-00300,candidate,B,new
BASTO(邦士度),BASTO(邦士度),MFR-00271,candidate,B,new
Bakon(深圳白光),Bakon(深圳白光),MFR-00340,candidate,B,new
Biuyum(标燕),Biuyum(标燕),MFR-00363,candidate,B,new
Broadic(展恒电子),Broadic(展恒电子),MFR-00386,candidate,B,new
BODA(波达),BODA(波达),MFR-00314,candidate,B,new
Better(贝特),Better(贝特),MFR-00358,candidate,B,new
BAT WIRELESS(蝙蝠无线),BAT WIRELESS(蝙蝠无线),MFR-00273,candidate,B,new
BIVAR,BIVAR,MFR-00298,candidate,B,new
铂尚,铂尚,MFR-03819,review,A,new
Bosch(博世),Bosch(博世),MFR-00370,candidate,B,new
BESTIR(鹰之印),BESTIR(鹰之印),MFR-00293,candidate,B,new
百利,百利,MFR-03763,review,A,new
Bridgelux(普瑞),Bridgelux(普瑞),MFR-00379,candidate,B,new
BERYL(绿宝石),BERYL(绿宝石),MFR-00290,candidate,B,new
BITEK(硕颉),BITEK(硕颉),MFR-00297,candidate,B,new
baocheng(宝乘),baocheng(宝乘),MFR-03426,candidate,B,new
步步高,步步高,MFR-03728,review,A,new
BACHJOHANN(巴赫约翰),BACHJOHANN(巴赫约翰),MFR-00254,candidate,B,new
BOZZYS(温州博士),BOZZYS(温州博士),MFR-00325,candidate,B,new
BOSSARD,BOSSARD,MFR-00320,candidate,B,new
BAIJINDUN(百金顿),BAIJINDUN(百金顿),MFR-00259,candidate,B,new
BPS(上海晶丰明源),BPS(上海晶丰明源),MFR-00327,candidate,B,new
BERRY LION(百威狮),BERRY LION(百威狮),MFR-00289,candidate,B,new
BZBGEAR,BZBGEAR,MFR-00337,candidate,B,new
BrtLed(佰鸿),BrtLed(佰鸿),MFR-00387,candidate,B,new
BL(上海贝岭),BL(上海贝岭),MFR-00304,candidate,B,new
Bellnix,Bellnix,MFR-00351,candidate,B,new
Bend Labs,Bend Labs,MFR-00354,candidate,B,new
Bellini Tiziana,Bellini Tiziana,MFR-00350,candidate,B,new
HydraBus,HydraBus,MFR-01336,candidate,B,new
Bluebird,Bluebird,MFR-00364,candidate,B,new
BotBlox,BotBlox,MFR-00372,candidate,B,new
Botron,Botron,MFR-00373,candidate,B,new
Blues Wireless,Blues Wireless,MFR-00365,candidate,B,new
BASiC(基本),BASiC(基本),MFR-00272,candidate,B,new
Brainboxes,Brainboxes,MFR-00376,candidate,B,new
BIAX(巴克斯),BIAX(巴克斯),MFR-00295,candidate,B,new
baty(贝迪),baty(贝迪),MFR-03427,candidate,B,new
Briteluxe Connect,Briteluxe Connect,MFR-00383,candidate,B,new
Bordison Memory,Bordison Memory,MFR-00368,candidate,B,new
BC(宝成),BC(宝成),MFR-00276,candidate,B,new
CYBERSEN(西博臣),CYBERSEN(西博臣),MFR-00517,candidate,B,new
