mpn,clean_mpn,manufacturer,brand,url_slug,category,subcategory,description,applications,keywords,attributes_json,availability,alternative_parts,datasheet_url,faq,image
nRF24L01+,NRF24L01,Nordic Semiconductor,Nordic Semiconductor,nrf24l01,RF Modules,RF Modules,nRF24L01+ 2.4GHz Transceiver,,,"{""voltage_v"": ""1.9-3.6V"", ""data_rate_bps"": ""2Mbps""}",active,,https://www.nordicsemi.com,,
SIM800L,SIM800L,SIMCom,SIMCom,sim800l,Cellular Modules,Cellular Modules,SIM800L Quad-band GSM,,,"{""voltage_v"": ""3.4-4.4V"", ""output_power_dbm"": ""33dBm""}",active,,https://www.simcom.com,,
NEO-6M,NEO6M,u-blox,u-blox,neo6m,GNSS Modules,GNSS Modules,NEO-6M GPS Receiver,,,"{""voltage_v"": ""2.7-3.6V"", ""sensitivity_dbm"": ""-161dBm""}",active,,https://www.u-blox.com,,
ESP32-WROOM-32,ESP32WROOM32,Espressif Systems,Espressif Systems,esp32wroom32,WiFi Modules,WiFi Modules,ESP32 Dual-core WiFi BT,,,"{""frequency_hz"": ""240MHz"", ""voltage_v"": ""3.0-3.6V""}",active,,https://www.espressif.com,,
1N4148WS-7-F,1N4148WS7F,Diodes Incorporated,Diodes Incorporated,1n4148ws7f,Diode,Diode,特性：快速开关速度。 小表面贴装封装。 用于通用开关应用。 完全无铅且完全符合RoHS标准。 无卤素和锑，“绿色”器件。 适用于需要特定变更控制的汽车应用，该部件符合AEC-Q101标准，具备PPAP能力，并在通过IATF16949认证的工厂生产,,,{},active,,,,
1N5819HW-7-F,1N5819HW7F,Diodes Incorporated,Diodes Incorporated,1n5819hw7f,Diode,Diode,该器件为单整流器，具备低正向压降（VF）和出色的高温稳定性。此器件非常适合用于一般整流应用。,,,{},active,,,,
2N7002K-7,2N7002K7,Diodes Incorporated,Diodes Incorporated,2n7002k7,Diode,Diode,该MOSFET旨在最大限度地降低导通电阻（RDS(ON)），同时保持卓越的开关性能，非常适合高效电源管理应用。,,,{},active,,,,
1N4148W-7-F,1N4148W7F,Diodes Incorporated,Diodes Incorporated,1n4148w7f,Diode,Diode,特性：快速开关速度。 低正向电压：1mA 时最大 0.715V。 快速反向恢复：最大 4ns。 低电容：最大 2pF。 表面贴装封装，非常适合自动插入。 适用于通用开关应用。 完全无铅且完全符合 RoHS 标准。 无卤和无锑，“绿色”器件。 适合需要特定变更控制的汽车应用，该部件符合 AEC-Q101 标准，具备 PPAP 能力，并在 IATF 16949 认证的工厂生产,,,{},active,,,,
B560C-13-F,B560C13F,Diodes Incorporated,Diodes Incorporated,b560c13f,Diode,Diode,这款肖特基势垒整流器旨在满足商业应用的一般要求。它非常适合用作极性保护二极管、续流二极管和开关二极管。,,,{},active,,,,
TJA1051T/3/1J,TJA1051T31J,NXP Semiconductors,NXP Semiconductors,tja1051t31j,Microcontroller,Microcontroller,TJA1051是一款高速CAN收发器，用于在控制器局域网（CAN）协议控制器与物理双线CAN总线之间提供接口。该收发器专为汽车行业的高速CAN应用而设计，可为带有CAN协议控制器的微控制器提供差分发送和接收功能,,,{},active,,,,
"TJA1050T/CM,118",TJA1050TCM118,NXP Semiconductors,NXP Semiconductors,tja1050tcm118,Microcontroller,Microcontroller,是控制器局域网（CAN）协议控制器和物理总线之间的接口。主要用于高速汽车应用，波特率从60 kbaud到1 Mbaud。为总线提供差分传输能力，为CAN协议控制器提供差分接收能力。完全符合“ISO 11898”标准。,,,{},active,,,,
S9KEAZ128AMLH,S9KEAZ128AMLH,NXP Semiconductors,NXP Semiconductors,s9keaz128amlh,Microcontroller,Microcontroller,特性：工作范围:  电压范围：2.7 至5.5 V。  Flash 编程电压范围：2.7 至5.5 V。  温度范围（环境）：-40 至125°C。 性能:  最高48 MHz 的ARM Cortex-M0+ 内核。  单周期32 位 x 32 位乘法器。  单周期I/O 访问端口,,,{},active,,,,
TJA1042T/3/1J,TJA1042T31J,NXP Semiconductors,NXP Semiconductors,tja1042t31j,Microcontroller,Microcontroller,高速CAN收发器为控制器局域网（CAN）协议控制器和物理两线CAN总线之间提供接口。该收发器专为汽车行业的高速CAN应用而设计，为带有CAN协议控制器的微控制器提供差分发送和接收能力。它属于第三代高速CAN收发器，在电磁兼容性（EMC）和静电放电（ESD）性能方面有显著改进。具备在电源电压关闭时对CAN总线呈现理想的无源特性、低电流待机模式且具备总线唤醒能力等特点。支持CAN FD快速阶段高达5 Mbit/s的数据速率进行可靠通信，部分型号具有更短的传播延迟，支持更大的网络拓扑结构。这些特性使其成为所有类型HS-CAN网络中需要通过CAN总线实现低功耗模式和唤醒功能节点的理想选择。,,,{},active,,,,
"PCF8563T/5,518",PCF8563T5518,NXP Semiconductors,NXP Semiconductors,pcf8563t5518,Microcontroller,Microcontroller,是一款针对低功耗进行优化的CMOS实时时钟（RTC）和日历。还提供可编程时钟输出、中断输出和低电压检测器。所有地址和数据通过两线双向I²C总线串行传输。最大总线速度为400 kbit/s。每次写入或读取数据字节后，寄存器地址会自动递增。,,,{},active,,,,
GD32E230C8T6,GD32E230C8T6,GigaDevice Semiconductor,GigaDevice Semiconductor,gd32e230c8t6,Microcontroller,Microcontroller,,,,{},active,,,,
GD32F303CCT6,GD32F303CCT6,GigaDevice Semiconductor,GigaDevice Semiconductor,gd32f303cct6,Microcontroller,Microcontroller,,,,{},active,,,,
GD32F103C8T6,GD32F103C8T6,GigaDevice Semiconductor,GigaDevice Semiconductor,gd32f103c8t6,Microcontroller,Microcontroller,最高主频可达108MHz，比市场同类产品提高了50%！,,,{},active,,,,
GD25Q16ESIGR,GD25Q16ESIGR,GigaDevice Semiconductor,GigaDevice Semiconductor,gd25q16esigr,Microcontroller,Microcontroller,GD25Q16E（16M位）串行闪存支持标准串行外设接口（SPI）以及双/四路SPI：串行时钟、片选、串行数据I/O0（SI）、I/O1（SO）、I/O2（WP#）、I/O3（HOLD#）。双I/O数据传输速度为266Mbit/s，四路I/O数据传输速度为532Mbit/s。,,,{},active,,,,
GD32F303CBT6,GD32F303CBT6,GigaDevice Semiconductor,GigaDevice Semiconductor,gd32f303cbt6,Microcontroller,Microcontroller,,,,{},active,,,,
MCP6001T-I/OT,MCP6001TIOT,Microchip Technology,Microchip Technology,mcp6001tiot,Microcontroller,Microcontroller,MCP6001/2/4 系列运算放大器专门为通用应用而设计。该系列的增益带宽积（GBWP）为 1 MHz，相位裕度典型值为 90°。在连接 500 pF 容性负载时，其相位裕度典型值仍能保持在 45°,,,{},active,,,,
MCP6002T-I/SN,MCP6002TISN,Microchip Technology,Microchip Technology,mcp6002tisn,Microcontroller,Microcontroller,双低功耗轨对轨运算放大器,,,{},active,,,,
AT24C256C-SSHL-T,AT24C256CSSHLT,Microchip Technology,Microchip Technology,at24c256csshlt,Microcontroller,Microcontroller,"AT24C256C提供262,144位串行电可擦除可编程只读存储器（EEPROM），其组织形式为32,768个8位字。该器件的级联功能允许最多8个器件共享一条通用两线总线。该器件针对许多工业和商业应用进行了优化，在这些应用中，低功耗和低电压运行至关重要",,,{},active,,,,
MCP3421A0T-E/CH,MCP3421A0TECH,Microchip Technology,Microchip Technology,mcp3421a0tech,Microcontroller,Microcontroller,"一款单通道低噪声、高精度ΔΣ模数转换器，采用差分输入，分辨率高达18位，采用小型SOT - 23 - 6封装。板载精密2.048V参考电压，可实现±2.048V的差分输入范围（Δ电压 = 4.096V）。该器件采用两线I²C兼容串行接口，由2.7V至5.5V单电源供电。
该器件根据用户通过两线I²C串行接口可控的配置位设置，以每秒3.75、15、60或240个样本（SPS）的速率进行转换。它具有板载可编程增益放大器（PGA）。用户可在模数转换前选择PGA增益为×1、×2、×4或×8。这使得该器件能够以高分辨率转换较小的输入信号。该器件有两种转换模式：（a）连续模式和（b）单次模式。在单次模式下，器件在一次转换后自动进入低电流待机模式。这大大降低了空闲期间的电流消耗。
该器件可用于各种高精度模数数据转换应用，在这些应用中，设计简单、低功耗和小尺寸是主要考虑因素。",,,{},active,,,,
ATMEGA328P-AU,ATMEGA328PAU,Microchip Technology,Microchip Technology,atmega328pau,Microcontroller,Microcontroller,"高性能、低功耗的Atmel AVR 8位微控制器系列n先进的RISC架构 – 131条强大的指令 – 大多数单时钟周期执行 – 32 x 8通用工作寄存器 – 完全静态操作 – 在20MHz下最高可达20 MIPS吞吐量 – 片上2周期乘法器n高耐久性的非易失性存储段 – 4/8/16/32KBytes的片内系统自编程Flash程序内存 – 256/512/512/1KBytes EEPROM – 512/1K/1K/2KBytes内部SRAM – 写入/擦除周期:10,000次Flash/100,000次EEPROM – 数据保留时间:85°C下20年/25°C下100年 – 可选的引导代码段，具有独立的锁定位n片内系统编程由片上引导程序实现真正的读写操作n软件安全的编程锁定nAtmel QTouch库支持 – 电容式触摸按钮、滑块和滚轮 – QTouch和QMatrix采集 – 最多64个感应通道n外设特性 – 两个8位定时器/计数器，具有独立预分频器和比较模式 – 一个16位定时器/计数器，具有独立预分频器、比较模式和捕获模式 – 带有单独振荡器的实时时钟 – 六个PWM通道 – 8通道10位ADC（TQFP和QFN/MLF封装）温度测量 – 6通道10位ADC（PDIP封装）温度测量 – 可编程串行USART – 主/从SPI串行接口 – 字节型2线串行接口（Philips I2C兼容） – 带有单独片上振荡器的可编程看门狗定时器 – 片内模拟比较器 – 引脚变化中断和唤醒n特殊微控制器特性 – 上电复位和可编程欠压检测 – 内部校准振荡器 – 外部和内部中断源 – 六种睡眠模式:空闲、ADC噪声减少、省电、掉电、待机和扩展待机nI/O和封装 – 23个可编程I/O线 – 28针PDIP，32引脚TQFP，28焊盘QFN/MLF和32焊盘QFN/MLF",,,{},active,,,,
NRF52832-QFAA-R,NRF52832QFAAR,Nordic Semiconductor,Nordic Semiconductor,nrf52832qfaar,Microcontroller,Microcontroller,TX:12 RX:11 波特率：19200,,,{},active,,,,
NRF52840-QIAA-R,NRF52840QIAAR,Nordic Semiconductor,Nordic Semiconductor,nrf52840qiaar,Microcontroller,Microcontroller,特性：蓝牙5，IEEE 802.15.4-2006，2.4 GHz收发器。1 Mbps蓝牙低功耗模式下95 dBm灵敏度。125 kbps蓝牙低功耗模式（长距离）下103 dBm灵敏度。20至 +8 dBm发射功率，以4 dB步长配置。与nRF52、nRF51、nRF24L和nRF24AP系列空中兼容。支持的数据速率:蓝牙5：2 Mbps、1 Mbps、500 kbps和125 kbps。应用：先进的计算机外设和I/O设备。物联网（IoT）,,,{},active,,,,
NRF24L01P-R,NRF24L01PR,Nordic Semiconductor,Nordic Semiconductor,nrf24l01pr,Microcontroller,Microcontroller,特性：全球2.4GHz ISM频段运行。 空中数据速率为250kbps、1Mbps和2Mbps。 超低功耗运行。应用：无线电脑外设,,,{},active,,,,
NRF52810-QFAA-R,NRF52810QFAAR,Nordic Semiconductor,Nordic Semiconductor,nrf52810qfaar,Microcontroller,Microcontroller,"特性：2.4 GHz 收发器。蓝牙低功耗模式下 -96 dBm 灵敏度。支持的数据速率:1 Mbps、2 Mbps 蓝牙低功耗模式。20 至 +4 dBm 发射功率,以 4 dB 为步长可配置。应用：计算机外设和 I/O 设备。鼠标",,,{},active,,,,
NRF52832-CIAA-R,NRF52832CIAAR,Nordic Semiconductor,Nordic Semiconductor,nrf52832ciaar,Microcontroller,Microcontroller,特性：2.4 GHz收发器: - 蓝牙低功耗模式下96 dBm灵敏度。 - 支持2 Mbps蓝牙低功耗模式。 - 支持1 Mbps、2 Mbps数据速率。 - 发射功率-20至+4 dBm，以4 dB为步长。 - 单引脚天线接口。 - 发射（0 dBm）时峰值电流5.3 mA。应用：物联网（IoT）。 家庭自动化,,,{},active,,,,
FM25V02A-GTR,FM25V02AGTR,Infineon Technologies,Infineon Technologies,fm25v02agtr,MOSFET,MOSFET,FM25V02A是一款256-Kbit非易失性铁电随机存取存储器(F-RAM)，采用先进的铁电工艺，支持高速SPI接口，具有高耐久性和低功耗特性。,,,{},active,,,,
FM24CL64B-GTR,FM24CL64BGTR,Infineon Technologies,Infineon Technologies,fm24cl64bgtr,MOSFET,MOSFET,64-Kbit(8K × 8bit)，I2C接口，工作电压：2.7V to 3.65V FM24CL64B是一款采用先进铁电工艺的64-Kbit非易失性存储器。铁电随机存取存储器（F-RAM）是非易失性的，其读写操作与RAM类似。它可提供151年可靠的数据保留，同时消除了EEPROM和其他非易失性存储器带来的复杂性、开销和系统级可靠性问题。,,,{},active,,,,
FM24CL16B-GTR,FM24CL16BGTR,Infineon Technologies,Infineon Technologies,fm24cl16bgtr,MOSFET,MOSFET,FM24CL16B是一款16-Kbit非易失性铁电随机存取存储器(F-RAM)，采用2Kx8组织结构。它具有高耐久性（100万亿次读写）、151年的数据保留时间和低功耗。支持最高1MHz的I2C接口，适用于频繁写入的应用场景。,,,{},active,,,,
FM25CL64B-GTR,FM25CL64BGTR,Infineon Technologies,Infineon Technologies,fm25cl64bgtr,MOSFET,MOSFET,FM25CL64B 是一个 64-Kbit 非易失性存储器，采用先进的铁电工艺。它提供可靠的 151 年数据保留时间，支持高达 100 万亿次读写操作，无需延迟写入。支持 SPI 接口，最高时钟频率为 20 MHz。,,,{},active,,,,
CYUSB3014-BZXC,CYUSB3014BZXC,Infineon Technologies,Infineon Technologies,cyusb3014bzxc,MOSFET,MOSFET,"CYUSB301X/CYUSB201X系列是超高速USB控制器，支持USB3.1 Gen1和USB2.0，集成了多种接口如UART, SPI, I2C, I2S等。",,,{},active,,,,
1N5819UR-1,1N5819UR1,ON Semiconductor,ON Semiconductor,1n5819ur1,MOSFET,MOSFET,,,,{},active,,,,
RC0402FR-0710KL,RC0402FR0710KL,Yageo,Yageo,rc0402fr0710kl,Resistor,Resistor,特性：无卤环氧树脂。符合RoHS标准。无铅端接产品符合RoHS要求。RoHS豁免电极、电阻元件和玻璃中含有的铅玻璃。减少对环境有害的废物。高组件和设备可靠性。应用：所有通用应用,,,{},active,,,,
RC0603FR-0710KL,RC0603FR0710KL,Yageo,Yageo,rc0603fr0710kl,Resistor,Resistor,特性：无卤环氧树脂。符合RoHS标准。无铅端接产品符合RoHS要求。RoHS豁免电极、电阻元件和玻璃中含有的铅玻璃。减少对环境有害的废物。高组件和设备可靠性。应用：所有通用应用,,,{},active,,,,
RC0402FR-071KL,RC0402FR071KL,Yageo,Yageo,rc0402fr071kl,Resistor,Resistor,特性：无卤环氧树脂。符合RoHS标准。无铅端接产品符合RoHS要求。RoHS豁免电极、电阻元件和玻璃中含有的铅玻璃。减少对环境有害的废物。高组件和设备可靠性。应用：所有通用应用,,,{},active,,,,
RC0402FR-074K7L,RC0402FR074K7L,Yageo,Yageo,rc0402fr074k7l,Resistor,Resistor,特性：无卤环氧树脂。符合RoHS标准。无铅端接产品符合RoHS要求。RoHS豁免电极、电阻元件和玻璃中含有的铅玻璃。减少对环境有害的废物。高组件和设备可靠性。应用：所有通用应用,,,{},active,,,,
RC0402FR-07100KL,RC0402FR07100KL,Yageo,Yageo,rc0402fr07100kl,Resistor,Resistor,特性：无卤环氧树脂。符合RoHS标准。无铅端接产品符合RoHS要求。RoHS豁免电极、电阻元件和玻璃中含有的铅玻璃。减少对环境有害的废物。高组件和设备可靠性。应用：所有通用应用,,,{},active,,,,
CRCW060310K0FKEA,CRCW060310K0FKEA,Vishay Intertechnology,Vishay Intertechnology,crcw060310k0fkea,Resistor,Resistor,标准厚膜贴片电阻适用于对高可靠性和稳定性有较高要求的现代电子领域。,,,{},active,,,,
SI2301CDS-T1-GE3,SI2301CDST1GE3,Vishay Intertechnology,Vishay Intertechnology,si2301cdst1ge3,Resistor,Resistor,特性：无卤，符合IEC 61249-2-21定义。 TrenchFET功率MOSFET。 符合RoHS指令2002/95/EC。应用：负载开关,,,{},active,,,,
LL4148-GS08,LL4148GS08,Vishay Intertechnology,Vishay Intertechnology,ll4148gs08,Resistor,Resistor,特性：硅外延平面二极管。 电气数据分别与器件1N4148和1N4448相同。 AEC-Q101合格。 材料分类：有关合规性定义请参阅相关文档。 极快的开关,,,{},active,,,,
SI2309CDS-T1-GE3,SI2309CDST1GE3,Vishay Intertechnology,Vishay Intertechnology,si2309cdst1ge3,Resistor,Resistor,"P沟道,-60V,-1.6A,345mΩ@-10V",,,{},active,,,,
IRFP460PBF,IRFP460PBF,Vishay Intertechnology,Vishay Intertechnology,irfp460pbf,Resistor,Resistor,"N沟道,500V,20A,270mΩ@10V",,,{},active,,,,
61300211121,61300211121,Wurth Elektronik,Wurth Elektronik,61300211121,Inductor,Inductor,,,,{},active,,,,
61300311121,61300311121,Wurth Elektronik,Wurth Elektronik,61300311121,Inductor,Inductor,,,,{},active,,,,
760390014,760390014,Wurth Elektronik,Wurth Elektronik,760390014,Inductor,Inductor,,,,{},active,,,,
434153017835,434153017835,Wurth Elektronik,Wurth Elektronik,434153017835,Inductor,Inductor,,,,{},active,,,,
82400102,82400102,Wurth Elektronik,Wurth Elektronik,82400102,Inductor,Inductor,,,,{},active,,,,
NCP18XH103F03RB,NCP18XH103F03RB,Murata Manufacturing,Murata Manufacturing,ncp18xh103f03rb,Capacitor,Capacitor,,,,{},active,,,,
NCP15XH103F03RC,NCP15XH103F03RC,Murata Manufacturing,Murata Manufacturing,ncp15xh103f03rc,Capacitor,Capacitor,,,,{},active,,,,
LQW15AN47NG00D,LQW15AN47NG00D,Murata Manufacturing,Murata Manufacturing,lqw15an47ng00d,Capacitor,Capacitor,,,,{},active,,,,
NCU18XH103F6SRB,NCU18XH103F6SRB,Murata Manufacturing,Murata Manufacturing,ncu18xh103f6srb,Capacitor,Capacitor,特性：优异的可焊性和环境稳定性。 出色的长期老化稳定性。 电阻和E常数精度高。 可进行波峰焊/回流焊。 产品不含铅。 NCU系列通过ULcUL认证（UL1434，文件编号E137188）。应用：汽车应用：动力系统/安全。 受限应用：汽车级,,,{},active,,,,
LQM21PN4R7MGRD,LQM21PN4R7MGRD,Murata Manufacturing,Murata Manufacturing,lqm21pn4r7mgrd,Capacitor,Capacitor,,,,{},active,,,,
430300001,430300001,Molex,Molex,430300001,USB Connectors,USB Connectors,Micro-Fit 3.0 压接端子，母头，镀锡（Sn）磷青铜触点，24 - 20 AWG，卷装,,,{},active,,,,
39000038,39000038,Molex,Molex,39000038,USB Connectors,USB Connectors,Mini-Fit 母压接端子，镀铜（Cu）锡（Sn）黄铜材质，双 22+22 规格或单 24 - 18 AWG 规格，卷装,,,{},active,,,,
532610471,532610471,Molex,Molex,532610471,USB Connectors,USB Connectors,间距1.25mm，PicoBlade PCB 排针，单排，直角，表面贴装，镀锡（Sn），摩擦锁，4 路，本色，卷带包装,,,{},active,,,,
1054500101,1054500101,Molex,Molex,1054500101,USB Connectors,USB Connectors,通用串行总线 (USB) 屏蔽式 I/O 插座，C 型，直角，顶部安装，表面贴装，0.80mm 焊片，0.76µm 镀钯镍上闪镀金 (Au),,,{},active,,,,
1040310811,1040310811,Molex,Molex,1040310811,USB Connectors,USB Connectors,1.10mm间距微型SD存储卡连接器，表面贴装，推拉式，高度1.42mm，带检测开关,,,{},active,,,,
B2B-XH-A(LF)(SN),B2BXHALFSN,JST,JST,b2bxhalfsn,Pin Header,Pin Header,"连接器非常小,安装高度为9.8mm。",,,{},active,,,,
B2B-PH-K-S(LF)(SN),B2BPHKSLFSN,JST,JST,b2bphkslfsn,Pin Header,Pin Header,"这是一款薄型、低矮的2.0mm间距连接器,安装后高度为8.0mm,宽度为4.5mm。它旨在满足内部电线与印刷电路板高密度连接的需求,结构紧凑、可靠性高且成本低。",,,{},active,,,,
B4B-PH-K-S(LF)(SN),B4BPHKSLFSN,JST,JST,b4bphkslfsn,Pin Header,Pin Header,"这是一款薄型、低矮的2.0mm间距连接器,安装后高度为8.0mm,宽度为4.5mm。它旨在满足内部电线与印刷电路板高密度连接的需求,结构紧凑、可靠性高且成本低。",,,{},active,,,,
B3B-XH-A(LF)(SN),B3BXHALFSN,JST,JST,b3bxhalfsn,Pin Header,Pin Header,"连接器非常小,安装高度为9.8mm。",,,{},active,,,,
B2P-VH(LF)(SN),B2PVHLFSN,JST,JST,b2pvhlfsn,Pin Header,Pin Header,这款用于印刷电路板的小型、经过实地验证的连接器可靠且具有大电流承载能力。它可用于消费电子产品中出现的各种信号、电源和输出电路。,,,{},active,,,,
PCIH47M400A1/AA,PCIH47M400A1AA,Amphenol,Amphenol,pcih47m400a1aa,USB Connectors,USB Connectors,,,,{},active,,,,
CBD7W2F37S600X/AA,CBD7W2F37S600XAA,Amphenol,Amphenol,cbd7w2f37s600xaa,USB Connectors,USB Connectors,,,,{},active,,,,
PLB08M300A1/AA,PLB08M300A1AA,Amphenol,Amphenol,plb08m300a1aa,USB Connectors,USB Connectors,,,,{},active,,,,
PLB08F300A1/AA,PLB08F300A1AA,Amphenol,Amphenol,plb08f300a1aa,USB Connectors,USB Connectors,,,,{},active,,,,
PLB12M300A1/AA,PLB12M300A1AA,Amphenol,Amphenol,plb12m300a1aa,USB Connectors,USB Connectors,,,,{},active,,,,
ESP32-S3R8,ESP32S3R8,Espressif Systems,Espressif Systems,esp32s3r8,WiFi Modules,WiFi Modules,是一款基于低功耗MCU的片上系统（SoC），集成了2.4 GHz Wi-Fi和蓝牙低功耗（Bluetooth LE）。它由高性能双核微处理器（Xtensa® 32位LX7）、低功耗协处理器、Wi-Fi基带、蓝牙LE基带、射频模块和众多外设组成。,,,{},active,,,,
ESP32-S3-WROOM-1-N16R8,ESP32S3WROOM1N16R8,Espressif Systems,Espressif Systems,esp32s3wroom1n16r8,WiFi Modules,WiFi Modules,是两款通用型Wi-Fi + 低功耗蓝牙MCU模组，搭载ESP32-S3系列芯片。除具有丰富的外设接口外，模组还拥有强大的神经网络运算能力和信号处理能力，适用于AIoT领域的多种应用场景，例如唤醒词检测和语音命令识别、人脸检测和识别、智能家居、智能家电、智能控制面板、智能扬声器等。采用的是ESP32-S3系列芯片。ESP32-S3系列芯片搭载Xtensa 32位LX7双核处理器（支持单精度浮点运算单元），工作频率高达240MHz,,,{},active,,,,
