supplier,supplier_sku,mpn,manufacturer,title,category,description,attributes,datasheet_url,stock,price
Mouser,MOU-500-00010,DIO50000010,Diodes Incorporated,Diodes Incorporated DIO50000010 Diode,Diode,DIO50000010 Diode from Diodes Incorporated. Sourced via professional procurement support; specs below.,vf_v: 0.7; if_a: 1; vrrm_v: 100,https://example.com/datasheet/DIO50000010.pdf,3938,21.2105
HQEW,HQE-500-00011,LED50000011,Everlight Electronics,Everlight Electronics LED50000011 LED Components,LED Components,LED50000011 LED Components from Everlight Electronics. Sourced via professional procurement support; specs below.,wavelength_nm: 650; package: 0805; forward_current_ma: 20; forward_voltage_v: 2.1; Luminous Intensity: 100mcd,https://example.com/datasheet/LED50000011.pdf,3500,13.8325
Mouser,MOU-500-00012,MEM50000012,ISSI,ISSI MEM50000012 Memory IC,Memory IC,MEM50000012 Memory IC from ISSI. Sourced via professional procurement support; specs below.,organization: x8; interface: SPI; memory_bytes: 16777216; speed_hz: 104000000,https://example.com/datasheet/MEM50000012.pdf,2100,10.1197
LCSC,LCS-500-00013,XTAL50000013,Wurth Elektronik,Wurth Elektronik XTAL50000013 Crystal Oscillator,Crystal Oscillator,XTAL50000013 Crystal Oscillator from Wurth Elektronik. Sourced via professional procurement support; specs below.,package: SMD; frequency_hz: 8000000; load_capacitance_pf: 18,https://example.com/datasheet/XTAL50000013.pdf,3031,4.8754
Mouser,MOU-500-00014,MCU50000014,GigaDevice Semiconductor,GigaDevice Semiconductor MCU50000014 Microcontroller,Microcontroller,MCU50000014 Microcontroller from GigaDevice Semiconductor. Sourced via professional procurement support; specs below.,Core: ARM Cortex-M4,https://example.com/datasheet/MCU50000014.pdf,3268,18.8489
Hanxin,HAN-500-00015,MOS50000015,RiverSemi,RiverSemi MOS50000015 MOSFET,MOSFET,MOS50000015 MOSFET from RiverSemi. Sourced via professional procurement support; specs below.,rds_on_mohm: 8; package: SOT-23,https://example.com/datasheet/MOS50000015.pdf,4008,10.2326
LCSC,LCS-500-00016,RES50000016,Vishay Intertechnology,Vishay Intertechnology RES50000016 Resistor,Resistor,RES50000016 Resistor from Vishay Intertechnology. Sourced via professional procurement support; specs below.,temperature_coeff: X7R; resistance_ohm: 10000; package: 0805; power_rating_w: 0.25,https://example.com/datasheet/RES50000016.pdf,292,14.4200
Digikey,DIG-500-00017,CAP50000017,KEMET Electronics,KEMET Electronics CAP50000017 Capacitor,Capacitor,CAP50000017 Capacitor from KEMET Electronics. Sourced via professional procurement support; specs below.,Capacitor Value: 100nF; temperature_coeff: X7R; capacitance_pf: 100000; package: 0603,https://example.com/datasheet/CAP50000017.pdf,2464,3.2074
HQEW,HQE-500-00018,IND50000018,Bourns,Bourns IND50000018 Inductor,Inductor,IND50000018 Inductor from Bourns. Sourced via professional procurement support; specs below.,current_rating_a: 1.5; inductance_uh: 4.7,https://example.com/datasheet/IND50000018.pdf,2127,23.5567
LCSC,LCS-500-00019,SEN50000019,STMicroelectronics,STMicroelectronics SEN50000019 Sensors,Sensors,SEN50000019 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,resolution_bits: 12; range: 0-40; Response Time: 5ms,https://example.com/datasheet/SEN50000019.pdf,62,2.3585
LCSC,LCS-500-00020,CON50000020,TE Connectivity,TE Connectivity CON50000020 Connectors,Connectors,CON50000020 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,pitch_mm: 2.54; positions: 40; mounting: SMD; voltage_rating_v: 50; current_rating_a: 3,https://example.com/datasheet/CON50000020.pdf,3375,10.9039
Digikey,DIG-500-00021,MOD50000021,MeshWorks,MeshWorks MOD50000021 Modules,Modules,MOD50000021 Modules from MeshWorks. Sourced via professional procurement support; specs below.,interface: UART; output_power_dbm: 20; sensitivity_dbm: -95; modulation: GFSK; data_rate_bps: 2000000,https://example.com/datasheet/MOD50000021.pdf,1036,19.5991
Digikey,DIG-500-00022,OPA50000022,Maxim Integrated,Maxim Integrated OPA50000022 Analog IC,Analog IC,OPA50000022 Analog IC from Maxim Integrated. Sourced via professional procurement support; specs below.,gain_db: 100; bandwidth_hz: 1000000; package: SOIC-8; supply_current_ua: 200,https://example.com/datasheet/OPA50000022.pdf,4100,23.0226
HQEW,HQE-500-00023,PMIC50000023,SGMICRO,SGMICRO PMIC50000023 Power Management IC,Power Management IC,PMIC50000023 Power Management IC from SGMICRO. Sourced via professional procurement support; specs below.,efficiency_percent: 92; voltage_out_v: 5; voltage_in_max_v: 28; voltage_in_min_v: 4.5; Line Regulation: 0.5%,https://example.com/datasheet/PMIC50000023.pdf,2787,7.2474
Digikey,DIG-500-00024,DIO50000024,Vishay Intertechnology,Vishay Intertechnology DIO50000024 Diode,Diode,DIO50000024 Diode from Vishay Intertechnology. Sourced via professional procurement support; specs below.,vf_v: 0.7; vrrm_v: 100; Reverse Recovery: 50ns,https://example.com/datasheet/DIO50000024.pdf,4787,2.9150
HQEW,HQE-500-00025,LED50000025,Lite-On Technology,Lite-On Technology LED50000025 LED Components,LED Components,LED50000025 LED Components from Lite-On Technology. Sourced via professional procurement support; specs below.,forward_voltage_v: 2.1; package: 0805; forward_current_ma: 20; wavelength_nm: 650,https://example.com/datasheet/LED50000025.pdf,3243,13.1504
LCSC,LCS-500-00026,MEM50000026,Winbond Electronics,Winbond Electronics MEM50000026 Memory IC,Memory IC,MEM50000026 Memory IC from Winbond Electronics. Sourced via professional procurement support; specs below.,organization: x8; memory_bytes: 16777216; interface: SPI; speed_hz: 104000000,https://example.com/datasheet/MEM50000026.pdf,3132,4.7688
HQEW,HQE-500-00027,XTAL50000027,TDK Corporation,TDK Corporation XTAL50000027 Crystal Oscillator,Crystal Oscillator,XTAL50000027 Crystal Oscillator from TDK Corporation. Sourced via professional procurement support; specs below.,frequency_hz: 8000000; load_capacitance_pf: 18; package: SMD,https://example.com/datasheet/XTAL50000027.pdf,645,13.5899
HQEW,HQE-500-00028,MCU50000028,Microchip Technology,Microchip Technology MCU50000028 Microcontroller,Microcontroller,MCU50000028 Microcontroller from Microchip Technology. Sourced via professional procurement support; specs below.,io_count: 48; package: LQFP-48; Program Memory: 128KB; ram_bytes: 20480; frequency_hz: 72000000,https://example.com/datasheet/MCU50000028.pdf,3790,4.1215
Digikey,DIG-500-00029,MOS50000029,Yangjie,Yangjie MOS50000029 MOSFET,MOSFET,MOS50000029 MOSFET from Yangjie. Sourced via professional procurement support; specs below.,vgs_th_v: 2.5; Continuous Drain Current: 30A; qg_nc: 45,https://example.com/datasheet/MOS50000029.pdf,4255,0.8190
Digikey,DIG-500-00030,RES50000030,Bourns,Bourns RES50000030 Resistor,Resistor,RES50000030 Resistor from Bourns. Sourced via professional procurement support; specs below.,package: 0805; resistance_ohm: 10000; power_rating_w: 0.25; tolerance: ±1%,https://example.com/datasheet/RES50000030.pdf,1134,14.3502
Digikey,DIG-500-00031,CAP50000031,TDK Corporation,TDK Corporation CAP50000031 Capacitor,Capacitor,CAP50000031 Capacitor from TDK Corporation. Sourced via professional procurement support; specs below.,capacitance_pf: 100000; temperature_coeff: X7R; tolerance: ±10%; voltage_rating_v: 50,https://example.com/datasheet/CAP50000031.pdf,2753,12.0396
Digikey,DIG-500-00032,IND50000032,TDK Corporation,TDK Corporation IND50000032 Inductor,Inductor,IND50000032 Inductor from TDK Corporation. Sourced via professional procurement support; specs below.,inductance_uh: 4.7; tolerance: ±20%; package: 0805,https://example.com/datasheet/IND50000032.pdf,4669,13.8940
Digikey,DIG-500-00033,SEN50000033,STMicroelectronics,STMicroelectronics SEN50000033 Sensors,Sensors,SEN50000033 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,resolution_bits: 12; range: 0-40; sensitivity: 260 LSB/g; accuracy: ±0.5; interface: I2C,https://example.com/datasheet/SEN50000033.pdf,1939,6.7848
Digikey,DIG-500-00034,CON50000034,JST,JST CON50000034 Connectors,Connectors,CON50000034 Connectors from JST. Sourced via professional procurement support; specs below.,positions: 40; mounting: SMD; voltage_rating_v: 50,https://example.com/datasheet/CON50000034.pdf,4036,11.5683
HQEW,HQE-500-00035,MOD50000035,Semtech,Semtech MOD50000035 Modules,Modules,MOD50000035 Modules from Semtech. Sourced via professional procurement support; specs below.,modulation: GFSK; sensitivity_dbm: -95; data_rate_bps: 2000000; interface: UART,https://example.com/datasheet/MOD50000035.pdf,4936,0.5323
Digikey,DIG-500-00036,OPA50000036,Silicon Labs,Silicon Labs OPA50000036 Analog IC,Analog IC,OPA50000036 Analog IC from Silicon Labs. Sourced via professional procurement support; specs below.,bandwidth_hz: 1000000; package: SOIC-8; gain_db: 100,https://example.com/datasheet/OPA50000036.pdf,4135,1.2852
Hanxin,HAN-500-00037,PMIC50000037,SGMICRO,SGMICRO PMIC50000037 Power Management IC,Power Management IC,PMIC50000037 Power Management IC from SGMICRO. Sourced via professional procurement support; specs below.,efficiency_percent: 92; voltage_out_v: 5; Power Good: yes,https://example.com/datasheet/PMIC50000037.pdf,1955,4.1451
Mouser,MOU-500-00038,DIO50000038,Vishay Intertechnology,Vishay Intertechnology DIO50000038 Diode,Diode,DIO50000038 Diode from Vishay Intertechnology. Sourced via professional procurement support; specs below.,vf_v: 0.7; if_a: 1,https://example.com/datasheet/DIO50000038.pdf,725,11.0407
LCSC,LCS-500-00039,LED50000039,Everlight Electronics,Everlight Electronics LED50000039 LED Components,LED Components,LED50000039 LED Components from Everlight Electronics. Sourced via professional procurement support; specs below.,package: 0805; forward_current_ma: 20; wavelength_nm: 650,https://example.com/datasheet/LED50000039.pdf,2631,2.8218
Digikey,DIG-500-00040,MEM50000040,,Unknown MEM50000040 Memory IC,Memory IC,MEM50000040 Memory IC from unspecified. Sourced via professional procurement support; specs below.,speed_hz: 104000000; organization: x8; memory_bytes: 16777216; interface: SPI,https://example.com/datasheet/MEM50000040.pdf,4610,12.1147
Hanxin,HAN-500-00041,XTAL50000041,AbraconX,AbraconX XTAL50000041 Crystal Oscillator,Crystal Oscillator,XTAL50000041 Crystal Oscillator from AbraconX. Sourced via professional procurement support; specs below.,package: SMD; load_capacitance_pf: 18,https://example.com/datasheet/XTAL50000041.pdf,3992,23.5634
Hanxin,HAN-500-00042,MCU50000042,Nuvoton Technology,Nuvoton Technology MCU50000042 Microcontroller,Microcontroller,MCU50000042 Microcontroller from Nuvoton Technology. Sourced via professional procurement support; specs below.,Clock Speed: 72MHz; ram_bytes: 20480; Core: ARM Cortex-M4,https://example.com/datasheet/MCU50000042.pdf,408,8.7673
Hanxin,HAN-500-00043,MOS50000043,Infineon Technologies,Infineon Technologies MOS50000043 MOSFET,MOSFET,MOS50000043 MOSFET from Infineon Technologies. Sourced via professional procurement support; specs below.,Continuous Drain Current: 30A; package: SOT-23; id_a: 30; qg_nc: 45; vgs_th_v: 2.5,https://example.com/datasheet/MOS50000043.pdf,55,11.3150
Mouser,MOU-500-00044,RES50000044,Yageo,Yageo RES50000044 Resistor,Resistor,RES50000044 Resistor from Yageo. Sourced via professional procurement support; specs below.,tolerance: ±1%; temperature_coeff: X7R,https://example.com/datasheet/RES50000044.pdf,2717,19.0438
Mouser,MOU-500-00045,CAP50000045,Holy Stone,Holy Stone CAP50000045 Capacitor,Capacitor,CAP50000045 Capacitor from Holy Stone. Sourced via professional procurement support; specs below.,voltage_rating_v: 50; Capacitor Value: 100nF,https://example.com/datasheet/CAP50000045.pdf,2031,10.3108
Hanxin,HAN-500-00046,IND50000046,Murata Manufacturing,Murata Manufacturing IND50000046 Inductor,Inductor,IND50000046 Inductor from Murata Manufacturing. Sourced via professional procurement support; specs below.,current_rating_a: 1.5; tolerance: ±20%; inductance_uh: 4.7,https://example.com/datasheet/IND50000046.pdf,1320,10.2851
Digikey,DIG-500-00047,SEN50000047,STMicroelectronics,STMicroelectronics SEN50000047 Sensors,Sensors,SEN50000047 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,"[1, 2, 3]",https://example.com/datasheet/SEN50000047.pdf,4592,18.9028
LCSC,LCS-500-00048,CON50000048,TE Connectivity,TE Connectivity CON50000048 Connectors,Connectors,CON50000048 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,mounting: SMD; positions: 40; voltage_rating_v: 50; current_rating_a: 3; Contact Plating: Gold,https://example.com/datasheet/CON50000048.pdf,2045,8.8805
LCSC,LCS-500-00049,MOD50000049,Espressif Systems,Espressif Systems MOD50000049 Modules,Modules,MOD50000049 Modules from Espressif Systems. Sourced via professional procurement support; specs below.,Data Rate: 2Mbps; interface: UART; data_rate_bps: 2000000,https://example.com/datasheet/MOD50000049.pdf,3135,2.0403
HQEW,HQE-500-00050,OPA50000050,Texas Instruments,Texas Instruments OPA50000050 Analog IC,Analog IC,OPA50000050 Analog IC from Texas Instruments. Sourced via professional procurement support; specs below.,supply_current_ua: 200; gain_db: 100; package: SOIC-8; bandwidth_hz: 1000000,https://example.com/datasheet/OPA50000050.pdf,4201,17.4053
Mouser,MOU-500-00051,PMIC50000051,SGMICRO,SGMICRO PMIC50000051 Power Management IC,Power Management IC,PMIC50000051 Power Management IC from SGMICRO. Sourced via professional procurement support; specs below.,voltage_in_min_v: 4.5; voltage_in_max_v: 28,https://example.com/datasheet/PMIC50000051.pdf,1799,7.9330
LCSC,LCS-500-00052,DIO50000052,RectFab,RectFab DIO50000052 Diode,Diode,DIO50000052 Diode from RectFab. Sourced via professional procurement support; specs below.,if_a: 1; vf_v: 0.7,https://example.com/datasheet/DIO50000052.pdf,1745,8.2705
HQEW,HQE-500-00053,LED50000053,Lite-On Technology,Lite-On Technology LED50000053 LED Components,LED Components,LED50000053 LED Components from Lite-On Technology. Sourced via professional procurement support; specs below.,wavelength_nm: 650; package: 0805; forward_current_ma: 20; forward_voltage_v: 2.1,https://example.com/datasheet/LED50000053.pdf,4696,5.2679
Hanxin,HAN-500-00054,MEM50000054,Micron Technology,Micron Technology MEM50000054 Memory IC,Memory IC,MEM50000054 Memory IC from Micron Technology. Sourced via professional procurement support; specs below.,speed_hz: 104000000; organization: x8,https://example.com/datasheet/MEM50000054.pdf,4422,23.9749
Digikey,DIG-500-00055,XTAL50000055,TDK Corporation,TDK Corporation XTAL50000055 Crystal Oscillator,Crystal Oscillator,XTAL50000055 Crystal Oscillator from TDK Corporation. Sourced via professional procurement support; specs below.,package: SMD; load_capacitance_pf: 18; frequency_hz: 8000000,https://example.com/datasheet/XTAL50000055.pdf,2748,2.6025
Mouser,MOU-500-00056,MCU50000056,Microchip Technology,Microchip Technology MCU50000056 Microcontroller,Microcontroller,MCU50000056 Microcontroller from Microchip Technology. Sourced via professional procurement support; specs below.,RAM Size: 20KB; voltage_v: 3.3; ram_bytes: 20480,https://example.com/datasheet/MCU50000056.pdf,2397,10.8393
Mouser,MOU-500-00057,MOS50000057,Vishay Intertechnology,Vishay Intertechnology MOS50000057 MOSFET,MOSFET,MOS50000057 MOSFET from Vishay Intertechnology. Sourced via professional procurement support; specs below.,vds_v: 55; id_a: 30; rds_on_mohm: 8; Drain Source Voltage: 55V,https://example.com/datasheet/MOS50000057.pdf,2702,8.0549
Hanxin,HAN-500-00058,RES50000058,Vishay Intertechnology,Vishay Intertechnology RES50000058 Resistor,Resistor,RES50000058 Resistor from Vishay Intertechnology. Sourced via professional procurement support; specs below.,package: 0805; tolerance: ±1%,https://example.com/datasheet/RES50000058.pdf,3189,3.3775
HQEW,HQE-500-00059,CAP50000059,Holy Stone,Holy Stone CAP50000059 Capacitor,Capacitor,CAP50000059 Capacitor from Holy Stone. Sourced via professional procurement support; specs below.,voltage_rating_v: 50; temperature_coeff: X7R; capacitance_pf: 100000; tolerance: ±10%,https://example.com/datasheet/CAP50000059.pdf,1670,2.7797
Digikey,DIG-500-00060,IND50000060,Bourns,Bourns IND50000060 Inductor,Inductor,IND50000060 Inductor from Bourns. Sourced via professional procurement support; specs below.,inductance_uh: 4.7; tolerance: ±20%,https://example.com/datasheet/IND50000060.pdf,1643,12.8536
LCSC,LCS-500-00061,SEN50000061,TE Connectivity,TE Connectivity SEN50000061 Sensors,Sensors,SEN50000061 Sensors from TE Connectivity. Sourced via professional procurement support; specs below.,interface: I2C; sensitivity: 260 LSB/g,https://example.com/datasheet/SEN50000061.pdf,3075,19.2568
Mouser,MOU-500-00062,CON50000062,Molex,Molex CON50000062 Connectors,Connectors,CON50000062 Connectors from Molex. Sourced via professional procurement support; specs below.,current_rating_a: 3; positions: 40; voltage_rating_v: 50,https://example.com/datasheet/CON50000062.pdf,1158,13.9033
LCSC,LCS-500-00063,MOD50000063,Semtech,Semtech MOD50000063 Modules,Modules,MOD50000063 Modules from Semtech. Sourced via professional procurement support; specs below.,modulation: GFSK; data_rate_bps: 2000000; Protocol Stack: 3.0,https://example.com/datasheet/MOD50000063.pdf,2630,7.8433
HQEW,HQE-500-00064,OPA50000064,Texas Instruments,Texas Instruments OPA50000064 Analog IC,Analog IC,OPA50000064 Analog IC from Texas Instruments. Sourced via professional procurement support; specs below.,bandwidth_hz: 1000000; package: SOIC-8,https://example.com/datasheet/OPA50000064.pdf,4542,11.0499
Mouser,MOU-500-00065,PMIC50000065,VoltRegInc,VoltRegInc PMIC50000065 Power Management IC,Power Management IC,PMIC50000065 Power Management IC from VoltRegInc. Sourced via professional procurement support; specs below.,voltage_out_v: 5; voltage_in_min_v: 4.5,https://example.com/datasheet/PMIC50000065.pdf,2249,0.8138
Digikey,DIG-500-00066,DIO50000066,Vishay Intertechnology,Vishay Intertechnology DIO50000066 Diode,Diode,DIO50000066 Diode from Vishay Intertechnology. Sourced via professional procurement support; specs below.,vrrm_v: 100; if_a: 1,https://example.com/datasheet/DIO50000066.pdf,459,4.1909
Mouser,MOU-500-00067,LED50000067,OSRAM,OSRAM LED50000067 LED Components,LED Components,LED50000067 LED Components from OSRAM. Sourced via professional procurement support; specs below.,forward_voltage_v: 2.1; forward_current_ma: 20; wavelength_nm: 650; package: 0805; Luminous Intensity: 100mcd,https://example.com/datasheet/LED50000067.pdf,4215,1.6359
LCSC,LCS-500-00068,MEM50000068,SK Hynix,SK Hynix MEM50000068 Memory IC,Memory IC,MEM50000068 Memory IC from SK Hynix. Sourced via professional procurement support; specs below.,interface: SPI; organization: x8; memory_bytes: 16777216; Access Time: 70ns,https://example.com/datasheet/MEM50000068.pdf,2130,6.7333
Hanxin,HAN-500-00069,XTAL50000069,TDK Corporation,TDK Corporation XTAL50000069 Crystal Oscillator,Crystal Oscillator,XTAL50000069 Crystal Oscillator from TDK Corporation. Sourced via professional procurement support; specs below.,load_capacitance_pf: 18; package: SMD,https://example.com/datasheet/XTAL50000069.pdf,3341,16.1194
Digikey,DIG-500-00070,MCU50000070,Holtek Semiconductor,Holtek Semiconductor MCU50000070 Microcontroller,Microcontroller,MCU50000070 Microcontroller from Holtek Semiconductor. Sourced via professional procurement support; specs below.,ram_bytes: 20480; Core: ARM Cortex-M4,https://example.com/datasheet/MCU50000070.pdf,2602,20.3918
Hanxin,HAN-500-00071,MOS50000071,Yangjie,Yangjie MOS50000071 MOSFET,MOSFET,MOS50000071 MOSFET from Yangjie. Sourced via professional procurement support; specs below.,rds_on_mohm: 8; id_a: 30; vgs_th_v: 2.5; vds_v: 55,https://example.com/datasheet/MOS50000071.pdf,4909,15.1108
Mouser,MOU-500-00072,RES50000072,Fenghua,Fenghua RES50000072 Resistor,Resistor,RES50000072 Resistor from Fenghua. Sourced via professional procurement support; specs below.,power_rating_w: 0.25; tolerance: ±1%; package: 0805; resistance_ohm: 10000,https://example.com/datasheet/RES50000072.pdf,4584,23.2806
Hanxin,HAN-500-00073,CAP50000073,TDK Corporation,TDK Corporation CAP50000073 Capacitor,Capacitor,CAP50000073 Capacitor from TDK Corporation. Sourced via professional procurement support; specs below.,Capacitor Value: 100nF; temperature_coeff: X7R; voltage_rating_v: 50,https://example.com/datasheet/CAP50000073.pdf,2818,12.3282
HQEW,HQE-500-00074,IND50000074,,Unknown IND50000074 Inductor,Inductor,IND50000074 Inductor from unspecified. Sourced via professional procurement support; specs below.,inductance_uh: 4.7; current_rating_a: 1.5,https://example.com/datasheet/IND50000074.pdf,1862,4.3478
Digikey,DIG-500-00075,SEN50000075,,Unknown SEN50000075 Sensors,Sensors,SEN50000075 Sensors from unspecified. Sourced via professional procurement support; specs below.,range: 0-40; interface: I2C; resolution_bits: 12,https://example.com/datasheet/SEN50000075.pdf,4718,18.6655
HQEW,HQE-500-00076,CON50000076,TE Connectivity,TE Connectivity CON50000076 Connectors,Connectors,CON50000076 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,mounting: SMD; voltage_rating_v: 50,https://example.com/datasheet/CON50000076.pdf,4044,15.6933
Digikey,DIG-500-00077,MOD50000077,SIMCom,SIMCom MOD50000077 Modules,Modules,MOD50000077 Modules from SIMCom. Sourced via professional procurement support; specs below.,interface: UART; data_rate_bps: 2000000,https://example.com/datasheet/MOD50000077.pdf,814,15.1014
Digikey,DIG-500-00078,OPA50000078,Silicon Labs,Silicon Labs OPA50000078 Analog IC,Analog IC,OPA50000078 Analog IC from Silicon Labs. Sourced via professional procurement support; specs below.,supply_current_ua: 200; bandwidth_hz: 1000000; gain_db: 100,https://example.com/datasheet/OPA50000078.pdf,3167,10.9599
HQEW,HQE-500-00079,PMIC50000079,Infineon Technologies,Infineon Technologies PMIC50000079 Power Management IC,Power Management IC,PMIC50000079 Power Management IC from Infineon Technologies. Sourced via professional procurement support; specs below.,output_current_a: 3; voltage_out_v: 5,https://example.com/datasheet/PMIC50000079.pdf,3828,17.1770
Digikey,DIG-500-00080,DIO50000080,Vishay Intertechnology,Vishay Intertechnology DIO50000080 Diode,Diode,DIO50000080 Diode from Vishay Intertechnology. Sourced via professional procurement support; specs below.,if_a: 1; vrrm_v: 100,https://example.com/datasheet/DIO50000080.pdf,1666,8.7430
Hanxin,HAN-500-00081,LED50000081,Everlight Electronics,Everlight Electronics LED50000081 LED Components,LED Components,LED50000081 LED Components from Everlight Electronics. Sourced via professional procurement support; specs below.,wavelength_nm: 650; package: 0805; forward_current_ma: 20; forward_voltage_v: 2.1; Luminous Intensity: 100mcd,https://example.com/datasheet/LED50000081.pdf,4505,8.7483
Mouser,MOU-500-00082,MEM50000082,SK Hynix,SK Hynix MEM50000082 Memory IC,Memory IC,MEM50000082 Memory IC from SK Hynix. Sourced via professional procurement support; specs below.,organization: x8; interface: SPI; speed_hz: 104000000; memory_bytes: 16777216,https://example.com/datasheet/MEM50000082.pdf,1213,15.3898
HQEW,HQE-500-00083,XTAL50000083,AbraconX,AbraconX XTAL50000083 Crystal Oscillator,Crystal Oscillator,XTAL50000083 Crystal Oscillator from AbraconX. Sourced via professional procurement support; specs below.,package: SMD; frequency_hz: 8000000; load_capacitance_pf: 18,https://example.com/datasheet/XTAL50000083.pdf,3391,13.7622
HQEW,HQE-500-00084,MCU50000084,Nuvoton Technology,Nuvoton Technology MCU50000084 Microcontroller,Microcontroller,MCU50000084 Microcontroller from Nuvoton Technology. Sourced via professional procurement support; specs below.,flash_bytes: 131072; RAM Size: 20KB; Operating Temp: -40~85,https://example.com/datasheet/MCU50000084.pdf,2929,16.3395
Digikey,DIG-500-00085,MOS50000085,HexaFab,HexaFab MOS50000085 MOSFET,MOSFET,MOS50000085 MOSFET from HexaFab. Sourced via professional procurement support; specs below.,package: SOT-23; vds_v: 55; vgs_th_v: 2.5; rds_on_mohm: 8; qg_nc: 45; Leakage Current: 1uA,https://example.com/datasheet/MOS50000085.pdf,912,5.2995
Hanxin,HAN-500-00086,RES50000086,Vishay Intertechnology,Vishay Intertechnology RES50000086 Resistor,Resistor,RES50000086 Resistor from Vishay Intertechnology. Sourced via professional procurement support; specs below.,package: 0805; power_rating_w: 0.25,https://example.com/datasheet/RES50000086.pdf,1690,13.8180
Digikey,DIG-500-00087,CAP50000087,TDK Corporation,TDK Corporation CAP50000087 Capacitor,Capacitor,CAP50000087 Capacitor from TDK Corporation. Sourced via professional procurement support; specs below.,temperature_coeff: X7R; tolerance: ±10%; package: 0603; voltage_rating_v: 50,https://example.com/datasheet/CAP50000087.pdf,310,23.9740
Mouser,MOU-500-00088,IND50000088,Bourns,Bourns IND50000088 Inductor,Inductor,IND50000088 Inductor from Bourns. Sourced via professional procurement support; specs below.,inductance_uh: 4.7; package: 0805,https://example.com/datasheet/IND50000088.pdf,4152,19.5381
