mpn,brand,reason,detail
XTAL100000181,AbraconX,unknown_manufacturer,
IND100000186,CoilWorks,unknown_manufacturer,
SEN100000187,BoschDummy,unknown_manufacturer,
MOD100000189,AirByte,unknown_manufacturer,
LED100000193,Kingbright,unknown_attribute_key=Luminous Intensity,
XTAL100000195,AbraconX,unknown_manufacturer,
MOS100000197,ON Semiconductor,unknown_attribute_key=Leakage Current,
SEN100000201,BoschDummy,unknown_attribute_key=Response Time,
SEN100000201,BoschDummy,unknown_manufacturer,
MOD100000203,,missing_manufacturer,
DIO100000206,Littelfuse,unknown_attribute_key=Reverse Recovery,
RES100000212,OhmWorks,unknown_manufacturer,
SEN100000215,BoschDummy,unknown_manufacturer,
MEM100000222,MemCore,unknown_manufacturer,
RES100000226,Fenghua,unknown_attribute_key=MTBF Hours,
SEN100000229,BoschDummy,unknown_manufacturer,
PMIC100000233,Richtek Technology,unknown_attribute_key=Power Good,
MCU100000238,Microchip Technology,unknown_attribute_key=Operating Temp,
XTAL100000251,AbraconX,unknown_manufacturer,
MOD100000259,Quectel,unknown_attribute_key=Protocol Stack,
RES100000268,Vishay Intertechnology,unknown_attribute_key=MTBF Hours,
CAP100000269,CapraMicro,unknown_manufacturer,
OPA100000274,Analog Devices,unknown_attribute_key=Input Noise,
PMIC100000275,Texas Instruments,malformed_attributes,
XTAL100000279,AbraconX,unknown_manufacturer,
MCU100000280,Microchip Technology,unknown_attribute_key=Operating Temp,
MEM100000292,ISSI,unknown_attribute_key=Access Time,
MCU100000308,Microchip Technology,unknown_attribute_key=ESD Rating,
RES100000310,Bourns,unknown_attribute_key=MTBF Hours,
OPA100000316,Silicon Labs,unknown_attribute_key=Phase Margin,
CON100000328,PlugWorks,unknown_manufacturer,
XTAL100000335,AbraconX,unknown_attribute_key=Frequency Tolerance,
XTAL100000335,AbraconX,unknown_manufacturer,
MOS100000337,Infineon Technologies,unknown_attribute_key=Leakage Current,
RES100000338,Vishay Intertechnology,unknown_attribute_key=Lifecycle Status,
CAP100000339,KEMET Electronics,unknown_attribute_key=Ripple Current,
SEN100000341,BoschDummy,unknown_manufacturer,
CON100000342,PlugWorks,unknown_manufacturer,
OPA100000344,LinearX,unknown_manufacturer,
MEM100000348,StoreX,unknown_manufacturer,
MCU100000350,QubitCore,unknown_manufacturer,
LED100000361,Everlight Electronics,unknown_attribute_key=Luminous Intensity,
MEM100000362,MemCore,unknown_manufacturer,
XTAL100000363,CrystaWorks,unknown_manufacturer,
MOS100000365,Yangjie,unknown_attribute_key=Leakage Current,
CON100000370,Amphenol,unknown_attribute_key=Contact Plating,
PMIC100000373,SGMICRO,unknown_attribute_key=Power Good,
MCU100000378,QubitCore,unknown_manufacturer,
IND100000382,CoilWorks,unknown_attribute_key=Self Resonant Freq,
IND100000382,CoilWorks,unknown_manufacturer,
LED100000389,LedWorks,unknown_manufacturer,
MEM100000390,SK Hynix,unknown_attribute_key=Access Time,
RES100000394,Bourns,unknown_attribute_key=Lifecycle Status,
IND100000396,Murata Manufacturing,unknown_attribute_key=Self Resonant Freq,
XTAL100000405,Murata Manufacturing,malformed_attributes,
MOS100000407,Infineon Technologies,unknown_attribute_key=Leakage Current,
RES100000408,Bourns,unknown_attribute_key=Lifecycle Status,
SEN100000411,BoschDummy,unknown_manufacturer,
MOS100000421,Vishay Intertechnology,unknown_attribute_key=Gate Charge Type,
SEN100000425,BoschDummy,unknown_manufacturer,
MEM100000432,StoreX,unknown_manufacturer,
XTAL100000433,AbraconX,unknown_manufacturer,
RES100000436,KEMET Electronics,malformed_attributes,
IND100000438,CoilWorks,unknown_manufacturer,
SEN100000439,BoschDummy,unknown_manufacturer,
MOD100000441,ModuLink,unknown_manufacturer,
IND100000452,Bourns,unknown_attribute_key=Self Resonant Freq,
MOD100000455,MeshWorks,unknown_manufacturer,
MEM100000460,StoreX,unknown_manufacturer,
CAP100000465,KEMET Electronics,unknown_attribute_key=Ripple Current,
CON100000468,PlugWorks,unknown_manufacturer,
PMIC100000471,Richtek Technology,malformed_attributes,
DIO100000472,,missing_manufacturer,
LED100000473,LedWorks,unknown_manufacturer,
OPA100000484,OpAmpInc,unknown_manufacturer,
DIO100000486,ON Semiconductor,unknown_attribute_key=Reverse Recovery,
MCU100000490,AcmeSemi,unknown_attribute_key=Thermal Resistance,
MCU100000490,AcmeSemi,unknown_manufacturer,
MOS100000491,HexaFab,unknown_manufacturer,
RES100000492,Yageo,unknown_attribute_key=Lifecycle Status,
IND100000494,CoilWorks,unknown_manufacturer,
SEN100000495,STMicroelectronics,unknown_attribute_key=Output Type,
LED100000501,Kingbright,unknown_attribute_key=Luminous Intensity,
CAP100000507,SigmaStore,unknown_manufacturer,
IND100000508,InduMax,unknown_manufacturer,
SEN100000509,BoschDummy,unknown_manufacturer,
MCU100000518,Nuvoton Technology,unknown_attribute_key=ESD Rating,
IND100000522,TDK Corporation,unknown_attribute_key=Self Resonant Freq,
CAP100000535,KEMET Electronics,unknown_attribute_key=Ripple Current,
CAP100000549,Walsin Technology,unknown_attribute_key=Ripple Current,
IND100000550,Wurth Elektronik,unknown_attribute_key=Self Resonant Freq,
SEN100000551,BoschDummy,unknown_manufacturer,
DIO100000556,,missing_manufacturer,
MCU100000560,Holtek Semiconductor,unknown_attribute_key=Thermal Resistance,
RES100000562,Yageo,unknown_attribute_key=Lifecycle Status,
SEN100000565,SenseQ,unknown_manufacturer,
OPA100000568,LinearX,unknown_manufacturer,
XTAL100000573,AbraconX,unknown_attribute_key=Frequency Tolerance,
XTAL100000573,AbraconX,unknown_manufacturer,
CON100000580,Molex,unknown_attribute_key=Mating Cycles,
MOD100000581,MeshWorks,unknown_manufacturer,
DIO100000584,Vishay Intertechnology,unknown_attribute_key=Reverse Recovery,
MEM100000586,Micron Technology,unknown_attribute_key=Access Time,
DIO100000598,ON Semiconductor,unknown_attribute_key=Reverse Recovery,
XTAL100000601,CrystaWorks,unknown_manufacturer,
MCU100000602,PioneerIC,unknown_manufacturer,
MOS100000603,HexaFab,unknown_manufacturer,
CON100000608,LinkFab,unknown_manufacturer,
LED100000613,Lite-On Technology,unknown_attribute_key=Luminous Intensity,
XTAL100000615,Wurth Elektronik,unknown_attribute_key=Frequency Tolerance,
RES100000618,OhmWorks,unknown_manufacturer,
SEN100000621,STMicroelectronics,malformed_attributes,
CON100000622,Amphenol,unknown_attribute_key=Contact Plating,
PMIC100000625,VoltRegInc,unknown_manufacturer,
OPA100000638,Texas Instruments,unknown_attribute_key=Phase Margin,
DIO100000640,,missing_manufacturer,
XTAL100000643,AbraconX,unknown_manufacturer,
SEN100000649,BoschDummy,unknown_manufacturer,
CON100000650,Molex,unknown_attribute_key=Mating Cycles,
PMIC100000653,Richtek Technology,unknown_attribute_key=Power Good,
MCU100000658,Microchip Technology,unknown_attribute_key=Operating Temp,
CON100000664,TE Connectivity,unknown_attribute_key=Contact Plating,
MOD100000665,,missing_manufacturer,
PMIC100000667,SGMICRO,unknown_attribute_key=Power Good,
LED100000669,Kingbright,unknown_attribute_key=Luminous Intensity,
MOS100000687,Yangjie,unknown_attribute_key=Gate Charge Type,
IND100000690,,missing_manufacturer,
SEN100000691,SenseQ,unknown_manufacturer,
CON100000692,LinkFab,unknown_manufacturer,
MOD100000693,ModuLink,unknown_manufacturer,
PMIC100000695,Richtek Technology,unknown_attribute_key=Power Good,
MEM100000698,StoreX,unknown_manufacturer,
SEN100000705,BoschDummy,unknown_manufacturer,
MEM100000712,SK Hynix,unknown_attribute_key=Access Time,
XTAL100000713,,missing_manufacturer,
MOS100000715,Infineon Technologies,unknown_attribute_key=Gate Charge Type,
RES100000716,ResTech,unknown_manufacturer,
IND100000718,Wurth Elektronik,unknown_attribute_key=Self Resonant Freq,
OPA100000722,Texas Instruments,unknown_attribute_key=Phase Margin,
XTAL100000727,AbraconX,unknown_manufacturer,
CON100000734,LinkFab,unknown_manufacturer,
MOD100000735,,missing_manufacturer,
OPA100000736,LinearX,unknown_manufacturer,
XTAL100000741,AbraconX,unknown_manufacturer,
MCU100000742,GigaDevice Semiconductor,unknown_attribute_key=Thermal Resistance,
PMIC100000751,VoltRegInc,unknown_manufacturer,
MEM100000754,Micron Technology,unknown_attribute_key=Access Time,
XTAL100000755,,missing_manufacturer,
MCU100000756,Nuvoton Technology,unknown_attribute_key=ESD Rating,
MOS100000757,Alpha & Omega Semiconductor,unknown_attribute_key=Gate Charge Type,
MEM100000768,Winbond Electronics,unknown_attribute_key=Access Time,
SEN100000789,SenseQ,unknown_manufacturer,
MOD100000791,AirByte,unknown_manufacturer,
DIO100000794,Diodes Incorporated,unknown_attribute_key=Reverse Recovery,
RES100000800,,missing_manufacturer,
CAP100000801,,missing_manufacturer,
SEN100000803,BoschDummy,unknown_manufacturer,
MOD100000805,Quectel,unknown_attribute_key=Protocol Stack,
OPA100000806,OpAmpInc,unknown_manufacturer,
CAP100000815,CapraMicro,unknown_manufacturer,
RES100000828,Vishay Intertechnology,unknown_attribute_key=MTBF Hours,
MOD100000833,AirByte,unknown_manufacturer,
MOS100000841,,missing_manufacturer,
MOD100000861,SIMCom,unknown_attribute_key=Protocol Stack,
DIO100000864,ON Semiconductor,unknown_attribute_key=Reverse Recovery,
LED100000865,PhotonInc,unknown_manufacturer,
XTAL100000867,TDK Corporation,unknown_attribute_key=Frequency Tolerance,
MOS100000869,,missing_manufacturer,
IND100000872,InduMax,unknown_manufacturer,
SEN100000873,NXP Semiconductors,unknown_attribute_key=Output Type,
CON100000874,TE Connectivity,unknown_attribute_key=Contact Plating,
PMIC100000877,SGMICRO,unknown_attribute_key=Power Good,
MOS100000883,Alpha & Omega Semiconductor,unknown_attribute_key=Gate Charge Type,
IND100000886,InduMax,unknown_manufacturer,
OPA100000904,Maxim Integrated,unknown_attribute_key=Input Noise,
LED100000907,Everlight Electronics,unknown_attribute_key=Luminous Intensity,
XTAL100000909,Murata Manufacturing,unknown_attribute_key=Frequency Tolerance,
MOD100000917,AirByte,unknown_manufacturer,
MCU100000924,PioneerIC,unknown_manufacturer,
CAP100000927,TDK Corporation,unknown_attribute_key=Ripple Current,
CON100000930,JST,unknown_attribute_key=Contact Plating,
DIO100000934,Littelfuse,unknown_attribute_key=Reverse Recovery,
XTAL100000937,AbraconX,unknown_manufacturer,
CAP100000941,Holy Stone,malformed_attributes,
SEN100000943,TE Connectivity,unknown_attribute_key=Response Time,
CAP100000955,,missing_manufacturer,
CON100000958,PlugWorks,unknown_manufacturer,
XTAL100000965,AbraconX,unknown_manufacturer,
MOS100000967,Vishay Intertechnology,unknown_attribute_key=Gate Charge Type,
IND100000970,TDK Corporation,unknown_attribute_key=Self Resonant Freq,
CON100000972,ConnX,unknown_manufacturer,
LED100000977,PhotonInc,unknown_manufacturer,
MEM100000978,StoreX,unknown_manufacturer,
XTAL100000979,AbraconX,unknown_manufacturer,
RES100000982,,missing_manufacturer,
SEN100000985,BoschDummy,unknown_manufacturer,
OPA100000988,Silicon Labs,unknown_attribute_key=Input Noise,
DIO100000990,DiodeX,unknown_manufacturer,
SEN100000999,LumenDetect,unknown_manufacturer,
