mpn,clean_mpn,manufacturer,brand,url_slug,category,subcategory,description,applications,keywords,attributes_json,availability,alternative_parts,datasheet_url,faq,image
DIO10000010,DIO10000010,RectFab,RectFab,dio10000010,Diode,Diode,DIO10000010 Diode from RectFab. Sourced via professional procurement support; specs below.,,,"{""vf_v"": ""0.7"", ""vrrm_v"": ""100"", ""if_a"": ""1""}",active,,https://example.com/datasheet/DIO10000010.pdf,,
LED10000011,LED10000011,OSRAM,OSRAM,led10000011,LED Components,LED Components,LED10000011 LED Components from OSRAM. Sourced via professional procurement support; specs below.,,,"{""forward_voltage_v"": ""2.1"", ""forward_current_ma"": ""20"", ""Luminous Intensity"": ""100mcd""}",active,,https://example.com/datasheet/LED10000011.pdf,,
MEM10000012,MEM10000012,Micron Technology,Micron Technology,mem10000012,Memory IC,Memory IC,MEM10000012 Memory IC from Micron Technology. Sourced via professional procurement support; specs below.,,,"{""interface"": ""SPI"", ""speed_hz"": ""104000000"", ""Access Time"": ""70ns""}",active,,https://example.com/datasheet/MEM10000012.pdf,,
XTAL10000013,XTAL10000013,Murata Manufacturing,Murata Manufacturing,xtal10000013,Crystal Oscillator,Crystal Oscillator,XTAL10000013 Crystal Oscillator from Murata Manufacturing. Sourced via professional procurement support; specs below.,,,"{""load_capacitance_pf"": ""18"", ""frequency_hz"": ""8000000""}",active,,https://example.com/datasheet/XTAL10000013.pdf,,
MCU10000014,MCU10000014,STMicroelectronics,STMicroelectronics,mcu10000014,Microcontroller,Microcontroller,MCU10000014 Microcontroller from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""ram_bytes"": ""20480""}",active,,https://example.com/datasheet/MCU10000014.pdf,,
MOS10000015,MOS10000015,ON Semiconductor,ON Semiconductor,mos10000015,MOSFET,MOSFET,MOS10000015 MOSFET from ON Semiconductor. Sourced via professional procurement support; specs below.,,,"{""qg_nc"": ""45"", ""vds_v"": ""55V"", ""package"": ""SOT-23""}",active,,https://example.com/datasheet/MOS10000015.pdf,,
RES10000016,RES10000016,Bourns,Bourns,res10000016,Resistor,Resistor,RES10000016 Resistor from Bourns. Sourced via professional procurement support; specs below.,,,"{""resistance_ohm"": ""10kΩ"", ""power_rating_w"": ""0.25""}",active,,https://example.com/datasheet/RES10000016.pdf,,
CAP10000017,CAP10000017,SigmaStore,SigmaStore,cap10000017,Capacitor,Capacitor,CAP10000017 Capacitor from SigmaStore. Sourced via professional procurement support; specs below.,,,"{""voltage_rating_v"": ""50"", ""tolerance"": ""±10%"", ""package"": ""0603""}",active,,https://example.com/datasheet/CAP10000017.pdf,,
IND10000018,IND10000018,TDK Corporation,TDK Corporation,ind10000018,Inductor,Inductor,IND10000018 Inductor from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""inductance_uh"": ""4.7"", ""package"": ""0805"", ""current_rating_a"": ""1.5"", ""tolerance"": ""±20%""}",active,,https://example.com/datasheet/IND10000018.pdf,,
SEN10000019,SEN10000019,NXP Semiconductors,NXP Semiconductors,sen10000019,Sensors,Sensors,SEN10000019 Sensors from NXP Semiconductors. Sourced via professional procurement support; specs below.,,,"{""sensitivity_dbm"": ""260 LSB/g"", ""accuracy"": ""±0.5"", ""range"": ""0-40"", ""interface"": ""I2C""}",active,,https://example.com/datasheet/SEN10000019.pdf,,
CON10000020,CON10000020,TE Connectivity,TE Connectivity,con10000020,Connectors,Connectors,CON10000020 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,,,"{""voltage_rating_v"": ""50"", ""positions"": ""40"", ""Contact Plating"": ""Gold""}",active,,https://example.com/datasheet/CON10000020.pdf,,
MOD10000021,MOD10000021,Quectel,Quectel,mod10000021,Modules,Modules,MOD10000021 Modules from Quectel. Sourced via professional procurement support; specs below.,,,"{""sensitivity_dbm"": ""-95"", ""output_power_dbm"": ""20"", ""modulation"": ""GFSK"", ""interface"": ""UART"", ""data_rate_bps"": ""2000000""}",active,,https://example.com/datasheet/MOD10000021.pdf,,
OPA10000022,OPA10000022,Silicon Labs,Silicon Labs,opa10000022,Analog IC,Analog IC,OPA10000022 Analog IC from Silicon Labs. Sourced via professional procurement support; specs below.,,,"{""gain_db"": ""100"", ""bandwidth_hz"": ""1000000"", ""package"": ""SOIC-8"", ""supply_current_ua"": ""200""}",active,,https://example.com/datasheet/OPA10000022.pdf,,
PMIC10000023,PMIC10000023,Richtek Technology,Richtek Technology,pmic10000023,Power Management IC,Power Management IC,PMIC10000023 Power Management IC from Richtek Technology. Sourced via professional procurement support; specs below.,,,"{""voltage_in_min_v"": ""4.5"", ""output_current_a"": ""3"", ""package"": ""SOT-23"", ""voltage_in_max_v"": ""28""}",active,,https://example.com/datasheet/PMIC10000023.pdf,,
DIO10000024,DIO10000024,Littelfuse,Littelfuse,dio10000024,Diode,Diode,DIO10000024 Diode from Littelfuse. Sourced via professional procurement support; specs below.,,,"{""if_a"": ""1"", ""vrrm_v"": ""100""}",active,,https://example.com/datasheet/DIO10000024.pdf,,
LED10000025,LED10000025,Everlight Electronics,Everlight Electronics,led10000025,LED Components,LED Components,LED10000025 LED Components from Everlight Electronics. Sourced via professional procurement support; specs below.,,,"{""package"": ""0805"", ""wavelength_nm"": ""650"", ""forward_current_ma"": ""20""}",active,,https://example.com/datasheet/LED10000025.pdf,,
MEM10000026,MEM10000026,Winbond Electronics,Winbond Electronics,mem10000026,Memory IC,Memory IC,MEM10000026 Memory IC from Winbond Electronics. Sourced via professional procurement support; specs below.,,,"{""interface"": ""SPI"", ""organization"": ""x8"", ""speed_hz"": ""104000000""}",active,,https://example.com/datasheet/MEM10000026.pdf,,
XTAL10000027,XTAL10000027,Murata Manufacturing,Murata Manufacturing,xtal10000027,Crystal Oscillator,Crystal Oscillator,XTAL10000027 Crystal Oscillator from Murata Manufacturing. Sourced via professional procurement support; specs below.,,,"{""load_capacitance_pf"": ""18"", ""frequency_hz"": ""8000000"", ""package"": ""SMD"", ""Frequency Tolerance"": ""±20ppm""}",active,,https://example.com/datasheet/XTAL10000027.pdf,,
MCU10000028,MCU10000028,GigaDevice Semiconductor,GigaDevice Semiconductor,mcu10000028,Microcontroller,Microcontroller,MCU10000028 Microcontroller from GigaDevice Semiconductor. Sourced via professional procurement support; specs below.,,,"{""voltage_v"": ""3.3"", ""frequency_hz"": ""72000000"", ""flash_bytes"": ""131072""}",active,,https://example.com/datasheet/MCU10000028.pdf,,
MOS10000029,MOS10000029,Alpha & Omega Semiconductor,Alpha & Omega Semiconductor,mos10000029,MOSFET,MOSFET,MOS10000029 MOSFET from Alpha & Omega Semiconductor. Sourced via professional procurement support; specs below.,,,"{""qg_nc"": ""45"", ""package"": ""SOT-23""}",active,,https://example.com/datasheet/MOS10000029.pdf,,
RES10000030,RES10000030,Fenghua,Fenghua,res10000030,Resistor,Resistor,RES10000030 Resistor from Fenghua. Sourced via professional procurement support; specs below.,,,"{""resistance_ohm"": ""10000"", ""temperature_coeff"": ""X7R"", ""power_rating_w"": ""0.25""}",active,,https://example.com/datasheet/RES10000030.pdf,,
CAP10000031,CAP10000031,Murata Manufacturing,Murata Manufacturing,cap10000031,Capacitor,Capacitor,CAP10000031 Capacitor from Murata Manufacturing. Sourced via professional procurement support; specs below.,,,"{""temperature_coeff"": ""X7R"", ""tolerance"": ""±10%"", ""capacitance_pf"": ""100nF""}",active,,https://example.com/datasheet/CAP10000031.pdf,,
IND10000032,IND10000032,Murata Manufacturing,Murata Manufacturing,ind10000032,Inductor,Inductor,IND10000032 Inductor from Murata Manufacturing. Sourced via professional procurement support; specs below.,,,"{""current_rating_a"": ""1.5"", ""tolerance"": ""±20%""}",active,,https://example.com/datasheet/IND10000032.pdf,,
SEN10000033,SEN10000033,STMicroelectronics,STMicroelectronics,sen10000033,Sensors,Sensors,SEN10000033 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""accuracy"": ""±0.5"", ""interface"": ""I2C"", ""sensitivity_dbm"": ""260 LSB/g"", ""Response Time"": ""5ms""}",active,,https://example.com/datasheet/SEN10000033.pdf,,
CON10000034,CON10000034,TE Connectivity,TE Connectivity,con10000034,Connectors,Connectors,CON10000034 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,,,"{""mounting"": ""SMD"", ""positions"": ""40"", ""current_rating_a"": ""3"", ""pitch_mm"": ""2.54""}",active,,https://example.com/datasheet/CON10000034.pdf,,
MOD10000035,MOD10000035,u-blox,u-blox,mod10000035,Modules,Modules,MOD10000035 Modules from u-blox. Sourced via professional procurement support; specs below.,,,"{""interface"": ""UART"", ""data_rate_bps"": ""2000000"", ""modulation"": ""GFSK"", ""Protocol Stack"": ""3.0""}",active,,https://example.com/datasheet/MOD10000035.pdf,,
OPA10000036,OPA10000036,Maxim Integrated,Maxim Integrated,opa10000036,Analog IC,Analog IC,OPA10000036 Analog IC from Maxim Integrated. Sourced via professional procurement support; specs below.,,,"{""package"": ""SOIC-8"", ""gain_db"": ""100"", ""Phase Margin"": ""60°""}",active,,https://example.com/datasheet/OPA10000036.pdf,,
PMIC10000037,PMIC10000037,Texas Instruments,Texas Instruments,pmic10000037,Power Management IC,Power Management IC,PMIC10000037 Power Management IC from Texas Instruments. Sourced via professional procurement support; specs below.,,,"{""voltage_in_max_v"": ""28"", ""efficiency_percent"": ""92"", ""voltage_in_min_v"": ""4.5"", ""voltage_out_v"": ""5""}",active,,https://example.com/datasheet/PMIC10000037.pdf,,
DIO10000038,DIO10000038,Vishay Intertechnology,Vishay Intertechnology,dio10000038,Diode,Diode,DIO10000038 Diode from Vishay Intertechnology. Sourced via professional procurement support; specs below.,,,"{""vf_v"": ""0.7"", ""if_a"": ""1""}",active,,https://example.com/datasheet/DIO10000038.pdf,,
LED10000039,LED10000039,Everlight Electronics,Everlight Electronics,led10000039,LED Components,LED Components,LED10000039 LED Components from Everlight Electronics. Sourced via professional procurement support; specs below.,,,"{""wavelength_nm"": ""650"", ""forward_voltage_v"": ""2.1"", ""package"": ""0805""}",active,,https://example.com/datasheet/LED10000039.pdf,,
MEM10000040,MEM10000040,Macronix International,Macronix International,mem10000040,Memory IC,Memory IC,MEM10000040 Memory IC from Macronix International. Sourced via professional procurement support; specs below.,,,"{""memory_bytes"": ""16777216"", ""speed_hz"": ""104000000""}",active,,https://example.com/datasheet/MEM10000040.pdf,,
XTAL10000041,XTAL10000041,AbraconX,AbraconX,xtal10000041,Crystal Oscillator,Crystal Oscillator,XTAL10000041 Crystal Oscillator from AbraconX. Sourced via professional procurement support; specs below.,,,"{""package"": ""SMD"", ""load_capacitance_pf"": ""18"", ""frequency_hz"": ""8000000""}",active,,https://example.com/datasheet/XTAL10000041.pdf,,
MCU10000042,MCU10000042,Nuvoton Technology,Nuvoton Technology,mcu10000042,Microcontroller,Microcontroller,MCU10000042 Microcontroller from Nuvoton Technology. Sourced via professional procurement support; specs below.,,,"{""core"": ""ARM Cortex-M4""}",active,,https://example.com/datasheet/MCU10000042.pdf,,
MOS10000043,MOS10000043,ON Semiconductor,ON Semiconductor,mos10000043,MOSFET,MOSFET,MOS10000043 MOSFET from ON Semiconductor. Sourced via professional procurement support; specs below.,,,"{""qg_nc"": ""45"", ""package"": ""SOT-23"", ""vgs_th_v"": ""2.5"", ""vds_v"": ""55V"", ""Gate Charge Type"": ""standard""}",active,,https://example.com/datasheet/MOS10000043.pdf,,
RES10000044,RES10000044,Yageo,Yageo,res10000044,Resistor,Resistor,RES10000044 Resistor from Yageo. Sourced via professional procurement support; specs below.,,,"{""power_rating_w"": ""0.25"", ""resistance_ohm"": ""10000"", ""temperature_coeff"": ""X7R"", ""package"": ""0805""}",active,,https://example.com/datasheet/RES10000044.pdf,,
CAP10000045,CAP10000045,Holy Stone,Holy Stone,cap10000045,Capacitor,Capacitor,CAP10000045 Capacitor from Holy Stone. Sourced via professional procurement support; specs below.,,,"{""package"": ""0603"", ""capacitance_pf"": ""100000""}",active,,https://example.com/datasheet/CAP10000045.pdf,,
IND10000046,IND10000046,Wurth Elektronik,Wurth Elektronik,ind10000046,Inductor,Inductor,IND10000046 Inductor from Wurth Elektronik. Sourced via professional procurement support; specs below.,,,"{""tolerance"": ""±20%"", ""current_rating_a"": ""1.5"", ""package"": ""0805"", ""inductance_uh"": ""4.7"", ""Self Resonant Freq"": ""50MHz""}",active,,https://example.com/datasheet/IND10000046.pdf,,
SEN10000047,SEN10000047,STMicroelectronics,STMicroelectronics,sen10000047,Sensors,Sensors,SEN10000047 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""interface"": ""I2C"", ""resolution_bits"": ""12"", ""sensitivity_dbm"": ""260 LSB/g"", ""accuracy"": ""±0.5"", ""range"": ""0-40""}",active,,https://example.com/datasheet/SEN10000047.pdf,,
CON10000048,CON10000048,LinkFab,LinkFab,con10000048,Connectors,Connectors,CON10000048 Connectors from LinkFab. Sourced via professional procurement support; specs below.,,,"{""pitch_mm"": ""2.54"", ""mounting"": ""SMD"", ""current_rating_a"": ""3"", ""positions"": ""40"", ""voltage_rating_v"": ""50"", ""Contact Plating"": ""Gold""}",active,,https://example.com/datasheet/CON10000048.pdf,,
MOD10000049,MOD10000049,Espressif Systems,Espressif Systems,mod10000049,Modules,Modules,MOD10000049 Modules from Espressif Systems. Sourced via professional procurement support; specs below.,,,"{""sensitivity_dbm"": ""-95"", ""modulation"": ""GFSK""}",active,,https://example.com/datasheet/MOD10000049.pdf,,
OPA10000050,OPA10000050,OpAmpInc,OpAmpInc,opa10000050,Analog IC,Analog IC,OPA10000050 Analog IC from OpAmpInc. Sourced via professional procurement support; specs below.,,,"{""supply_current_ua"": ""200"", ""bandwidth_hz"": ""1000000"", ""gain_db"": ""100""}",active,,https://example.com/datasheet/OPA10000050.pdf,,
PMIC10000051,PMIC10000051,,,pmic10000051,Power Management IC,Power Management IC,PMIC10000051 Power Management IC from unspecified. Sourced via professional procurement support; specs below.,,,"{""voltage_in_min_v"": ""4.5"", ""package"": ""SOT-23"", ""output_current_a"": ""3"", ""efficiency_percent"": ""92""}",active,,https://example.com/datasheet/PMIC10000051.pdf,,
DIO10000052,DIO10000052,Littelfuse,Littelfuse,dio10000052,Diode,Diode,DIO10000052 Diode from Littelfuse. Sourced via professional procurement support; specs below.,,,"{""if_a"": ""1"", ""vrrm_v"": ""100""}",active,,https://example.com/datasheet/DIO10000052.pdf,,
LED10000053,LED10000053,PhotonInc,PhotonInc,led10000053,LED Components,LED Components,LED10000053 LED Components from PhotonInc. Sourced via professional procurement support; specs below.,,,"{""wavelength_nm"": ""650"", ""forward_current_ma"": ""20"", ""forward_voltage_v"": ""2.1"", ""package"": ""0805""}",active,,https://example.com/datasheet/LED10000053.pdf,,
MEM10000054,MEM10000054,Winbond Electronics,Winbond Electronics,mem10000054,Memory IC,Memory IC,MEM10000054 Memory IC from Winbond Electronics. Sourced via professional procurement support; specs below.,,,"{""memory_bytes"": ""16777216"", ""organization"": ""x8"", ""speed_hz"": ""104000000""}",active,,https://example.com/datasheet/MEM10000054.pdf,,
XTAL10000055,XTAL10000055,AbraconX,AbraconX,xtal10000055,Crystal Oscillator,Crystal Oscillator,XTAL10000055 Crystal Oscillator from AbraconX. Sourced via professional procurement support; specs below.,,,"{""load_capacitance_pf"": ""18"", ""package"": ""SMD"", ""frequency_hz"": ""8000000""}",active,,https://example.com/datasheet/XTAL10000055.pdf,,
MCU10000056,MCU10000056,STMicroelectronics,STMicroelectronics,mcu10000056,Microcontroller,Microcontroller,MCU10000056 Microcontroller from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""frequency_hz"": ""72000000""}",active,,https://example.com/datasheet/MCU10000056.pdf,,
MOS10000057,MOS10000057,Alpha & Omega Semiconductor,Alpha & Omega Semiconductor,mos10000057,MOSFET,MOSFET,MOS10000057 MOSFET from Alpha & Omega Semiconductor. Sourced via professional procurement support; specs below.,,,"{""qg_nc"": ""45"", ""vds_v"": ""55V"", ""package"": ""SOT-23"", ""rds_on_mohm"": ""8""}",active,,https://example.com/datasheet/MOS10000057.pdf,,
RES10000058,RES10000058,KEMET Electronics,KEMET Electronics,res10000058,Resistor,Resistor,RES10000058 Resistor from KEMET Electronics. Sourced via professional procurement support; specs below.,,,"{""power_rating_w"": ""0.25"", ""resistance_ohm"": ""10000""}",active,,https://example.com/datasheet/RES10000058.pdf,,
CAP10000059,CAP10000059,Walsin Technology,Walsin Technology,cap10000059,Capacitor,Capacitor,CAP10000059 Capacitor from Walsin Technology. Sourced via professional procurement support; specs below.,,,"{""capacitance_pf"": ""100000"", ""tolerance"": ""±10%"", ""package"": ""0603"", ""voltage_rating_v"": ""50""}",active,,https://example.com/datasheet/CAP10000059.pdf,,
IND10000060,IND10000060,Murata Manufacturing,Murata Manufacturing,ind10000060,Inductor,Inductor,IND10000060 Inductor from Murata Manufacturing. Sourced via professional procurement support; specs below.,,,"{""package"": ""0805"", ""current_rating_a"": ""1.5"", ""inductance_uh"": ""4.7""}",active,,https://example.com/datasheet/IND10000060.pdf,,
SEN10000061,SEN10000061,SenseQ,SenseQ,sen10000061,Sensors,Sensors,SEN10000061 Sensors from SenseQ. Sourced via professional procurement support; specs below.,,,"{""sensitivity_dbm"": ""260 LSB/g"", ""resolution_bits"": ""12"", ""accuracy"": ""±0.5"", ""range"": ""0-40"", ""interface"": ""I2C""}",active,,https://example.com/datasheet/SEN10000061.pdf,,
CON10000062,CON10000062,Molex,Molex,con10000062,Connectors,Connectors,CON10000062 Connectors from Molex. Sourced via professional procurement support; specs below.,,,"{""positions"": ""40"", ""pitch_mm"": ""2.54"", ""current_rating_a"": ""3"", ""voltage_rating_v"": ""50""}",active,,https://example.com/datasheet/CON10000062.pdf,,
MOD10000063,MOD10000063,u-blox,u-blox,mod10000063,Modules,Modules,MOD10000063 Modules from u-blox. Sourced via professional procurement support; specs below.,,,"{""data_rate_bps"": ""2Mbps"", ""modulation"": ""GFSK"", ""output_power_dbm"": ""20""}",active,,https://example.com/datasheet/MOD10000063.pdf,,
OPA10000064,OPA10000064,Analog Devices,Analog Devices,opa10000064,Analog IC,Analog IC,OPA10000064 Analog IC from Analog Devices. Sourced via professional procurement support; specs below.,,,"{""gain_db"": ""100"", ""supply_current_ua"": ""200""}",active,,https://example.com/datasheet/OPA10000064.pdf,,
PMIC10000065,PMIC10000065,Monolithic Power Systems,Monolithic Power Systems,pmic10000065,Power Management IC,Power Management IC,PMIC10000065 Power Management IC from Monolithic Power Systems. Sourced via professional procurement support; specs below.,,,"{""voltage_out_v"": ""5"", ""efficiency_percent"": ""92"", ""package"": ""SOT-23""}",active,,https://example.com/datasheet/PMIC10000065.pdf,,
DIO10000066,DIO10000066,Littelfuse,Littelfuse,dio10000066,Diode,Diode,DIO10000066 Diode from Littelfuse. Sourced via professional procurement support; specs below.,,,"{""vf_v"": ""0.7"", ""if_a"": ""1"", ""vrrm_v"": ""100""}",active,,https://example.com/datasheet/DIO10000066.pdf,,
LED10000067,LED10000067,Kingbright,Kingbright,led10000067,LED Components,LED Components,LED10000067 LED Components from Kingbright. Sourced via professional procurement support; specs below.,,,"{""wavelength_nm"": ""650"", ""package"": ""0805"", ""forward_current_ma"": ""20"", ""forward_voltage_v"": ""2.1""}",active,,https://example.com/datasheet/LED10000067.pdf,,
MEM10000068,MEM10000068,SK Hynix,SK Hynix,mem10000068,Memory IC,Memory IC,MEM10000068 Memory IC from SK Hynix. Sourced via professional procurement support; specs below.,,,"{""speed_hz"": ""104000000"", ""memory_bytes"": ""16777216""}",active,,https://example.com/datasheet/MEM10000068.pdf,,
XTAL10000069,XTAL10000069,Wurth Elektronik,Wurth Elektronik,xtal10000069,Crystal Oscillator,Crystal Oscillator,XTAL10000069 Crystal Oscillator from Wurth Elektronik. Sourced via professional procurement support; specs below.,,,"{""frequency_hz"": ""8000000"", ""package"": ""SMD"", ""load_capacitance_pf"": ""18""}",active,,https://example.com/datasheet/XTAL10000069.pdf,,
MCU10000070,MCU10000070,STMicroelectronics,STMicroelectronics,mcu10000070,Microcontroller,Microcontroller,MCU10000070 Microcontroller from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""core"": ""ARM Cortex-M4"", ""frequency_hz"": ""72MHz""}",active,,https://example.com/datasheet/MCU10000070.pdf,,
MOS10000071,MOS10000071,Vishay Intertechnology,Vishay Intertechnology,mos10000071,MOSFET,MOSFET,MOS10000071 MOSFET from Vishay Intertechnology. Sourced via professional procurement support; specs below.,,,"{""id_a"": ""30A"", ""package"": ""SOT-23""}",active,,https://example.com/datasheet/MOS10000071.pdf,,
RES10000072,RES10000072,KEMET Electronics,KEMET Electronics,res10000072,Resistor,Resistor,RES10000072 Resistor from KEMET Electronics. Sourced via professional procurement support; specs below.,,,"{""package"": ""0805"", ""temperature_coeff"": ""X7R""}",active,,https://example.com/datasheet/RES10000072.pdf,,
CAP10000073,CAP10000073,Walsin Technology,Walsin Technology,cap10000073,Capacitor,Capacitor,CAP10000073 Capacitor from Walsin Technology. Sourced via professional procurement support; specs below.,,,"{""voltage_rating_v"": ""50"", ""package"": ""0603"", ""capacitance_pf"": ""100000"", ""tolerance"": ""±10%""}",active,,https://example.com/datasheet/CAP10000073.pdf,,
IND10000074,IND10000074,TDK Corporation,TDK Corporation,ind10000074,Inductor,Inductor,IND10000074 Inductor from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""package"": ""0805"", ""inductance_uh"": ""4.7""}",active,,https://example.com/datasheet/IND10000074.pdf,,
SEN10000075,SEN10000075,STMicroelectronics,STMicroelectronics,sen10000075,Sensors,Sensors,SEN10000075 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""sensitivity_dbm"": ""260 LSB/g"", ""interface"": ""I2C"", ""range"": ""0-40""}",active,,https://example.com/datasheet/SEN10000075.pdf,,
CON10000076,CON10000076,JST,JST,con10000076,Connectors,Connectors,CON10000076 Connectors from JST. Sourced via professional procurement support; specs below.,,,"{""mounting"": ""SMD"", ""current_rating_a"": ""3"", ""positions"": ""40"", ""pitch_mm"": ""2.54""}",active,,https://example.com/datasheet/CON10000076.pdf,,
MOD10000077,MOD10000077,Espressif Systems,Espressif Systems,mod10000077,Modules,Modules,MOD10000077 Modules from Espressif Systems. Sourced via professional procurement support; specs below.,,,"{""data_rate_bps"": ""2Mbps"", ""output_power_dbm"": ""20"", ""sensitivity_dbm"": ""-95""}",active,,https://example.com/datasheet/MOD10000077.pdf,,
OPA10000078,OPA10000078,Analog Devices,Analog Devices,opa10000078,Analog IC,Analog IC,OPA10000078 Analog IC from Analog Devices. Sourced via professional procurement support; specs below.,,,"{""package"": ""SOIC-8"", ""gain_db"": ""100"", ""supply_current_ua"": ""200""}",active,,https://example.com/datasheet/OPA10000078.pdf,,
PMIC10000079,PMIC10000079,Richtek Technology,Richtek Technology,pmic10000079,Power Management IC,Power Management IC,PMIC10000079 Power Management IC from Richtek Technology. Sourced via professional procurement support; specs below.,,,"{""efficiency_percent"": ""92"", ""voltage_out_v"": ""5""}",active,,https://example.com/datasheet/PMIC10000079.pdf,,
DIO10000080,DIO10000080,Littelfuse,Littelfuse,dio10000080,Diode,Diode,DIO10000080 Diode from Littelfuse. Sourced via professional procurement support; specs below.,,,"{""if_a"": ""1"", ""vrrm_v"": ""100""}",active,,https://example.com/datasheet/DIO10000080.pdf,,
LED10000081,LED10000081,Kingbright,Kingbright,led10000081,LED Components,LED Components,LED10000081 LED Components from Kingbright. Sourced via professional procurement support; specs below.,,,"{""wavelength_nm"": ""650"", ""package"": ""0805"", ""forward_current_ma"": ""20""}",active,,https://example.com/datasheet/LED10000081.pdf,,
MEM10000082,MEM10000082,SK Hynix,SK Hynix,mem10000082,Memory IC,Memory IC,MEM10000082 Memory IC from SK Hynix. Sourced via professional procurement support; specs below.,,,"{""speed_hz"": ""104000000"", ""interface"": ""SPI"", ""organization"": ""x8"", ""memory_bytes"": ""16777216"", ""Access Time"": ""70ns""}",active,,https://example.com/datasheet/MEM10000082.pdf,,
XTAL10000083,XTAL10000083,Wurth Elektronik,Wurth Elektronik,xtal10000083,Crystal Oscillator,Crystal Oscillator,XTAL10000083 Crystal Oscillator from Wurth Elektronik. Sourced via professional procurement support; specs below.,,,"{""frequency_hz"": ""8000000"", ""load_capacitance_pf"": ""18"", ""package"": ""SMD""}",active,,https://example.com/datasheet/XTAL10000083.pdf,,
