mpn,clean_mpn,manufacturer,brand,url_slug,category,subcategory,description,applications,keywords,attributes_json,availability,alternative_parts,datasheet_url,faq,image
DIO50000010,DIO50000010,Diodes Incorporated,Diodes Incorporated,dio50000010,Diode,Diode,DIO50000010 Diode from Diodes Incorporated. Sourced via professional procurement support; specs below.,,,"{""vf_v"": ""0.7"", ""if_a"": ""1"", ""vrrm_v"": ""100""}",active,,https://example.com/datasheet/DIO50000010.pdf,,
LED50000011,LED50000011,Everlight Electronics,Everlight Electronics,led50000011,LED Components,LED Components,LED50000011 LED Components from Everlight Electronics. Sourced via professional procurement support; specs below.,,,"{""wavelength_nm"": ""650"", ""package"": ""0805"", ""forward_current_ma"": ""20"", ""forward_voltage_v"": ""2.1"", ""Luminous Intensity"": ""100mcd""}",active,,https://example.com/datasheet/LED50000011.pdf,,
MEM50000012,MEM50000012,ISSI,ISSI,mem50000012,Memory IC,Memory IC,MEM50000012 Memory IC from ISSI. Sourced via professional procurement support; specs below.,,,"{""organization"": ""x8"", ""interface"": ""SPI"", ""memory_bytes"": ""16777216"", ""speed_hz"": ""104000000""}",active,,https://example.com/datasheet/MEM50000012.pdf,,
XTAL50000013,XTAL50000013,Wurth Elektronik,Wurth Elektronik,xtal50000013,Crystal Oscillator,Crystal Oscillator,XTAL50000013 Crystal Oscillator from Wurth Elektronik. Sourced via professional procurement support; specs below.,,,"{""package"": ""SMD"", ""frequency_hz"": ""8000000"", ""load_capacitance_pf"": ""18""}",active,,https://example.com/datasheet/XTAL50000013.pdf,,
MCU50000014,MCU50000014,GigaDevice Semiconductor,GigaDevice Semiconductor,mcu50000014,Microcontroller,Microcontroller,MCU50000014 Microcontroller from GigaDevice Semiconductor. Sourced via professional procurement support; specs below.,,,"{""core"": ""ARM Cortex-M4""}",active,,https://example.com/datasheet/MCU50000014.pdf,,
MOS50000015,MOS50000015,RiverSemi,RiverSemi,mos50000015,MOSFET,MOSFET,MOS50000015 MOSFET from RiverSemi. Sourced via professional procurement support; specs below.,,,"{""rds_on_mohm"": ""8"", ""package"": ""SOT-23""}",active,,https://example.com/datasheet/MOS50000015.pdf,,
RES50000016,RES50000016,Vishay Intertechnology,Vishay Intertechnology,res50000016,Resistor,Resistor,RES50000016 Resistor from Vishay Intertechnology. Sourced via professional procurement support; specs below.,,,"{""temperature_coeff"": ""X7R"", ""resistance_ohm"": ""10000"", ""package"": ""0805"", ""power_rating_w"": ""0.25""}",active,,https://example.com/datasheet/RES50000016.pdf,,
CAP50000017,CAP50000017,KEMET Electronics,KEMET Electronics,cap50000017,Capacitor,Capacitor,CAP50000017 Capacitor from KEMET Electronics. Sourced via professional procurement support; specs below.,,,"{""capacitance_pf"": ""100000"", ""temperature_coeff"": ""X7R"", ""package"": ""0603""}",active,,https://example.com/datasheet/CAP50000017.pdf,,
IND50000018,IND50000018,Bourns,Bourns,ind50000018,Inductor,Inductor,IND50000018 Inductor from Bourns. Sourced via professional procurement support; specs below.,,,"{""current_rating_a"": ""1.5"", ""inductance_uh"": ""4.7""}",active,,https://example.com/datasheet/IND50000018.pdf,,
SEN50000019,SEN50000019,STMicroelectronics,STMicroelectronics,sen50000019,Sensors,Sensors,SEN50000019 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""resolution_bits"": ""12"", ""range"": ""0-40"", ""Response Time"": ""5ms""}",active,,https://example.com/datasheet/SEN50000019.pdf,,
CON50000020,CON50000020,TE Connectivity,TE Connectivity,con50000020,Connectors,Connectors,CON50000020 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,,,"{""pitch_mm"": ""2.54"", ""positions"": ""40"", ""mounting"": ""SMD"", ""voltage_rating_v"": ""50"", ""current_rating_a"": ""3""}",active,,https://example.com/datasheet/CON50000020.pdf,,
MOD50000021,MOD50000021,MeshWorks,MeshWorks,mod50000021,Modules,Modules,MOD50000021 Modules from MeshWorks. Sourced via professional procurement support; specs below.,,,"{""interface"": ""UART"", ""output_power_dbm"": ""20"", ""sensitivity_dbm"": ""-95"", ""modulation"": ""GFSK"", ""data_rate_bps"": ""2000000""}",active,,https://example.com/datasheet/MOD50000021.pdf,,
OPA50000022,OPA50000022,Maxim Integrated,Maxim Integrated,opa50000022,Analog IC,Analog IC,OPA50000022 Analog IC from Maxim Integrated. Sourced via professional procurement support; specs below.,,,"{""gain_db"": ""100"", ""bandwidth_hz"": ""1000000"", ""package"": ""SOIC-8"", ""supply_current_ua"": ""200""}",active,,https://example.com/datasheet/OPA50000022.pdf,,
PMIC50000023,PMIC50000023,SGMICRO,SGMICRO,pmic50000023,Power Management IC,Power Management IC,PMIC50000023 Power Management IC from SGMICRO. Sourced via professional procurement support; specs below.,,,"{""efficiency_percent"": ""92"", ""voltage_out_v"": ""5"", ""voltage_in_max_v"": ""28"", ""voltage_in_min_v"": ""4.5"", ""Line Regulation"": ""0.5%""}",active,,https://example.com/datasheet/PMIC50000023.pdf,,
DIO50000024,DIO50000024,Vishay Intertechnology,Vishay Intertechnology,dio50000024,Diode,Diode,DIO50000024 Diode from Vishay Intertechnology. Sourced via professional procurement support; specs below.,,,"{""vf_v"": ""0.7"", ""vrrm_v"": ""100"", ""Reverse Recovery"": ""50ns""}",active,,https://example.com/datasheet/DIO50000024.pdf,,
LED50000025,LED50000025,Lite-On Technology,Lite-On Technology,led50000025,LED Components,LED Components,LED50000025 LED Components from Lite-On Technology. Sourced via professional procurement support; specs below.,,,"{""forward_voltage_v"": ""2.1"", ""package"": ""0805"", ""forward_current_ma"": ""20"", ""wavelength_nm"": ""650""}",active,,https://example.com/datasheet/LED50000025.pdf,,
MEM50000026,MEM50000026,Winbond Electronics,Winbond Electronics,mem50000026,Memory IC,Memory IC,MEM50000026 Memory IC from Winbond Electronics. Sourced via professional procurement support; specs below.,,,"{""organization"": ""x8"", ""memory_bytes"": ""16777216"", ""interface"": ""SPI"", ""speed_hz"": ""104000000""}",active,,https://example.com/datasheet/MEM50000026.pdf,,
XTAL50000027,XTAL50000027,TDK Corporation,TDK Corporation,xtal50000027,Crystal Oscillator,Crystal Oscillator,XTAL50000027 Crystal Oscillator from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""frequency_hz"": ""8000000"", ""load_capacitance_pf"": ""18"", ""package"": ""SMD""}",active,,https://example.com/datasheet/XTAL50000027.pdf,,
MCU50000028,MCU50000028,Microchip Technology,Microchip Technology,mcu50000028,Microcontroller,Microcontroller,MCU50000028 Microcontroller from Microchip Technology. Sourced via professional procurement support; specs below.,,,"{""io_count"": ""48"", ""package"": ""LQFP-48"", ""flash_bytes"": ""128KB"", ""ram_bytes"": ""20480"", ""frequency_hz"": ""72000000""}",active,,https://example.com/datasheet/MCU50000028.pdf,,
MOS50000029,MOS50000029,Yangjie,Yangjie,mos50000029,MOSFET,MOSFET,MOS50000029 MOSFET from Yangjie. Sourced via professional procurement support; specs below.,,,"{""vgs_th_v"": ""2.5"", ""id_a"": ""30A"", ""qg_nc"": ""45""}",active,,https://example.com/datasheet/MOS50000029.pdf,,
RES50000030,RES50000030,Bourns,Bourns,res50000030,Resistor,Resistor,RES50000030 Resistor from Bourns. Sourced via professional procurement support; specs below.,,,"{""package"": ""0805"", ""resistance_ohm"": ""10000"", ""power_rating_w"": ""0.25"", ""tolerance"": ""±1%""}",active,,https://example.com/datasheet/RES50000030.pdf,,
CAP50000031,CAP50000031,TDK Corporation,TDK Corporation,cap50000031,Capacitor,Capacitor,CAP50000031 Capacitor from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""capacitance_pf"": ""100000"", ""temperature_coeff"": ""X7R"", ""tolerance"": ""±10%"", ""voltage_rating_v"": ""50""}",active,,https://example.com/datasheet/CAP50000031.pdf,,
IND50000032,IND50000032,TDK Corporation,TDK Corporation,ind50000032,Inductor,Inductor,IND50000032 Inductor from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""inductance_uh"": ""4.7"", ""tolerance"": ""±20%"", ""package"": ""0805""}",active,,https://example.com/datasheet/IND50000032.pdf,,
SEN50000033,SEN50000033,STMicroelectronics,STMicroelectronics,sen50000033,Sensors,Sensors,SEN50000033 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""resolution_bits"": ""12"", ""range"": ""0-40"", ""sensitivity_dbm"": ""260 LSB/g"", ""accuracy"": ""±0.5"", ""interface"": ""I2C""}",active,,https://example.com/datasheet/SEN50000033.pdf,,
CON50000034,CON50000034,JST,JST,con50000034,Connectors,Connectors,CON50000034 Connectors from JST. Sourced via professional procurement support; specs below.,,,"{""positions"": ""40"", ""mounting"": ""SMD"", ""voltage_rating_v"": ""50""}",active,,https://example.com/datasheet/CON50000034.pdf,,
MOD50000035,MOD50000035,Semtech,Semtech,mod50000035,Modules,Modules,MOD50000035 Modules from Semtech. Sourced via professional procurement support; specs below.,,,"{""modulation"": ""GFSK"", ""sensitivity_dbm"": ""-95"", ""data_rate_bps"": ""2000000"", ""interface"": ""UART""}",active,,https://example.com/datasheet/MOD50000035.pdf,,
OPA50000036,OPA50000036,Silicon Labs,Silicon Labs,opa50000036,Analog IC,Analog IC,OPA50000036 Analog IC from Silicon Labs. Sourced via professional procurement support; specs below.,,,"{""bandwidth_hz"": ""1000000"", ""package"": ""SOIC-8"", ""gain_db"": ""100""}",active,,https://example.com/datasheet/OPA50000036.pdf,,
PMIC50000037,PMIC50000037,SGMICRO,SGMICRO,pmic50000037,Power Management IC,Power Management IC,PMIC50000037 Power Management IC from SGMICRO. Sourced via professional procurement support; specs below.,,,"{""efficiency_percent"": ""92"", ""voltage_out_v"": ""5"", ""Power Good"": ""yes""}",active,,https://example.com/datasheet/PMIC50000037.pdf,,
DIO50000038,DIO50000038,Vishay Intertechnology,Vishay Intertechnology,dio50000038,Diode,Diode,DIO50000038 Diode from Vishay Intertechnology. Sourced via professional procurement support; specs below.,,,"{""vf_v"": ""0.7"", ""if_a"": ""1""}",active,,https://example.com/datasheet/DIO50000038.pdf,,
LED50000039,LED50000039,Everlight Electronics,Everlight Electronics,led50000039,LED Components,LED Components,LED50000039 LED Components from Everlight Electronics. Sourced via professional procurement support; specs below.,,,"{""package"": ""0805"", ""forward_current_ma"": ""20"", ""wavelength_nm"": ""650""}",active,,https://example.com/datasheet/LED50000039.pdf,,
MEM50000040,MEM50000040,,,mem50000040,Memory IC,Memory IC,MEM50000040 Memory IC from unspecified. Sourced via professional procurement support; specs below.,,,"{""speed_hz"": ""104000000"", ""organization"": ""x8"", ""memory_bytes"": ""16777216"", ""interface"": ""SPI""}",active,,https://example.com/datasheet/MEM50000040.pdf,,
XTAL50000041,XTAL50000041,AbraconX,AbraconX,xtal50000041,Crystal Oscillator,Crystal Oscillator,XTAL50000041 Crystal Oscillator from AbraconX. Sourced via professional procurement support; specs below.,,,"{""package"": ""SMD"", ""load_capacitance_pf"": ""18""}",active,,https://example.com/datasheet/XTAL50000041.pdf,,
MCU50000042,MCU50000042,Nuvoton Technology,Nuvoton Technology,mcu50000042,Microcontroller,Microcontroller,MCU50000042 Microcontroller from Nuvoton Technology. Sourced via professional procurement support; specs below.,,,"{""frequency_hz"": ""72MHz"", ""ram_bytes"": ""20480"", ""core"": ""ARM Cortex-M4""}",active,,https://example.com/datasheet/MCU50000042.pdf,,
MOS50000043,MOS50000043,Infineon Technologies,Infineon Technologies,mos50000043,MOSFET,MOSFET,MOS50000043 MOSFET from Infineon Technologies. Sourced via professional procurement support; specs below.,,,"{""id_a"": ""30"", ""package"": ""SOT-23"", ""qg_nc"": ""45"", ""vgs_th_v"": ""2.5""}",active,,https://example.com/datasheet/MOS50000043.pdf,,
RES50000044,RES50000044,Yageo,Yageo,res50000044,Resistor,Resistor,RES50000044 Resistor from Yageo. Sourced via professional procurement support; specs below.,,,"{""tolerance"": ""±1%"", ""temperature_coeff"": ""X7R""}",active,,https://example.com/datasheet/RES50000044.pdf,,
CAP50000045,CAP50000045,Holy Stone,Holy Stone,cap50000045,Capacitor,Capacitor,CAP50000045 Capacitor from Holy Stone. Sourced via professional procurement support; specs below.,,,"{""voltage_rating_v"": ""50"", ""capacitance_pf"": ""100nF""}",active,,https://example.com/datasheet/CAP50000045.pdf,,
IND50000046,IND50000046,Murata Manufacturing,Murata Manufacturing,ind50000046,Inductor,Inductor,IND50000046 Inductor from Murata Manufacturing. Sourced via professional procurement support; specs below.,,,"{""current_rating_a"": ""1.5"", ""tolerance"": ""±20%"", ""inductance_uh"": ""4.7""}",active,,https://example.com/datasheet/IND50000046.pdf,,
SEN50000047,SEN50000047,STMicroelectronics,STMicroelectronics,sen50000047,Sensors,Sensors,SEN50000047 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"[1, 2, 3]",active,,https://example.com/datasheet/SEN50000047.pdf,,
CON50000048,CON50000048,TE Connectivity,TE Connectivity,con50000048,Connectors,Connectors,CON50000048 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,,,"{""mounting"": ""SMD"", ""positions"": ""40"", ""voltage_rating_v"": ""50"", ""current_rating_a"": ""3"", ""Contact Plating"": ""Gold""}",active,,https://example.com/datasheet/CON50000048.pdf,,
MOD50000049,MOD50000049,Espressif Systems,Espressif Systems,mod50000049,Modules,Modules,MOD50000049 Modules from Espressif Systems. Sourced via professional procurement support; specs below.,,,"{""data_rate_bps"": ""2000000"", ""interface"": ""UART""}",active,,https://example.com/datasheet/MOD50000049.pdf,,
OPA50000050,OPA50000050,Texas Instruments,Texas Instruments,opa50000050,Analog IC,Analog IC,OPA50000050 Analog IC from Texas Instruments. Sourced via professional procurement support; specs below.,,,"{""supply_current_ua"": ""200"", ""gain_db"": ""100"", ""package"": ""SOIC-8"", ""bandwidth_hz"": ""1000000""}",active,,https://example.com/datasheet/OPA50000050.pdf,,
PMIC50000051,PMIC50000051,SGMICRO,SGMICRO,pmic50000051,Power Management IC,Power Management IC,PMIC50000051 Power Management IC from SGMICRO. Sourced via professional procurement support; specs below.,,,"{""voltage_in_min_v"": ""4.5"", ""voltage_in_max_v"": ""28""}",active,,https://example.com/datasheet/PMIC50000051.pdf,,
DIO50000052,DIO50000052,RectFab,RectFab,dio50000052,Diode,Diode,DIO50000052 Diode from RectFab. Sourced via professional procurement support; specs below.,,,"{""if_a"": ""1"", ""vf_v"": ""0.7""}",active,,https://example.com/datasheet/DIO50000052.pdf,,
LED50000053,LED50000053,Lite-On Technology,Lite-On Technology,led50000053,LED Components,LED Components,LED50000053 LED Components from Lite-On Technology. Sourced via professional procurement support; specs below.,,,"{""wavelength_nm"": ""650"", ""package"": ""0805"", ""forward_current_ma"": ""20"", ""forward_voltage_v"": ""2.1""}",active,,https://example.com/datasheet/LED50000053.pdf,,
MEM50000054,MEM50000054,Micron Technology,Micron Technology,mem50000054,Memory IC,Memory IC,MEM50000054 Memory IC from Micron Technology. Sourced via professional procurement support; specs below.,,,"{""speed_hz"": ""104000000"", ""organization"": ""x8""}",active,,https://example.com/datasheet/MEM50000054.pdf,,
XTAL50000055,XTAL50000055,TDK Corporation,TDK Corporation,xtal50000055,Crystal Oscillator,Crystal Oscillator,XTAL50000055 Crystal Oscillator from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""package"": ""SMD"", ""load_capacitance_pf"": ""18"", ""frequency_hz"": ""8000000""}",active,,https://example.com/datasheet/XTAL50000055.pdf,,
MCU50000056,MCU50000056,Microchip Technology,Microchip Technology,mcu50000056,Microcontroller,Microcontroller,MCU50000056 Microcontroller from Microchip Technology. Sourced via professional procurement support; specs below.,,,"{""ram_bytes"": ""20480"", ""voltage_v"": ""3.3""}",active,,https://example.com/datasheet/MCU50000056.pdf,,
MOS50000057,MOS50000057,Vishay Intertechnology,Vishay Intertechnology,mos50000057,MOSFET,MOSFET,MOS50000057 MOSFET from Vishay Intertechnology. Sourced via professional procurement support; specs below.,,,"{""vds_v"": ""55V"", ""id_a"": ""30"", ""rds_on_mohm"": ""8""}",active,,https://example.com/datasheet/MOS50000057.pdf,,
RES50000058,RES50000058,Vishay Intertechnology,Vishay Intertechnology,res50000058,Resistor,Resistor,RES50000058 Resistor from Vishay Intertechnology. Sourced via professional procurement support; specs below.,,,"{""package"": ""0805"", ""tolerance"": ""±1%""}",active,,https://example.com/datasheet/RES50000058.pdf,,
CAP50000059,CAP50000059,Holy Stone,Holy Stone,cap50000059,Capacitor,Capacitor,CAP50000059 Capacitor from Holy Stone. Sourced via professional procurement support; specs below.,,,"{""voltage_rating_v"": ""50"", ""temperature_coeff"": ""X7R"", ""capacitance_pf"": ""100000"", ""tolerance"": ""±10%""}",active,,https://example.com/datasheet/CAP50000059.pdf,,
IND50000060,IND50000060,Bourns,Bourns,ind50000060,Inductor,Inductor,IND50000060 Inductor from Bourns. Sourced via professional procurement support; specs below.,,,"{""inductance_uh"": ""4.7"", ""tolerance"": ""±20%""}",active,,https://example.com/datasheet/IND50000060.pdf,,
SEN50000061,SEN50000061,TE Connectivity,TE Connectivity,sen50000061,Sensors,Sensors,SEN50000061 Sensors from TE Connectivity. Sourced via professional procurement support; specs below.,,,"{""interface"": ""I2C"", ""sensitivity_dbm"": ""260 LSB/g""}",active,,https://example.com/datasheet/SEN50000061.pdf,,
CON50000062,CON50000062,Molex,Molex,con50000062,Connectors,Connectors,CON50000062 Connectors from Molex. Sourced via professional procurement support; specs below.,,,"{""current_rating_a"": ""3"", ""positions"": ""40"", ""voltage_rating_v"": ""50""}",active,,https://example.com/datasheet/CON50000062.pdf,,
MOD50000063,MOD50000063,Semtech,Semtech,mod50000063,Modules,Modules,MOD50000063 Modules from Semtech. Sourced via professional procurement support; specs below.,,,"{""modulation"": ""GFSK"", ""data_rate_bps"": ""2000000"", ""Protocol Stack"": ""3.0""}",active,,https://example.com/datasheet/MOD50000063.pdf,,
OPA50000064,OPA50000064,Texas Instruments,Texas Instruments,opa50000064,Analog IC,Analog IC,OPA50000064 Analog IC from Texas Instruments. Sourced via professional procurement support; specs below.,,,"{""bandwidth_hz"": ""1000000"", ""package"": ""SOIC-8""}",active,,https://example.com/datasheet/OPA50000064.pdf,,
PMIC50000065,PMIC50000065,VoltRegInc,VoltRegInc,pmic50000065,Power Management IC,Power Management IC,PMIC50000065 Power Management IC from VoltRegInc. Sourced via professional procurement support; specs below.,,,"{""voltage_out_v"": ""5"", ""voltage_in_min_v"": ""4.5""}",active,,https://example.com/datasheet/PMIC50000065.pdf,,
DIO50000066,DIO50000066,Vishay Intertechnology,Vishay Intertechnology,dio50000066,Diode,Diode,DIO50000066 Diode from Vishay Intertechnology. Sourced via professional procurement support; specs below.,,,"{""vrrm_v"": ""100"", ""if_a"": ""1""}",active,,https://example.com/datasheet/DIO50000066.pdf,,
LED50000067,LED50000067,OSRAM,OSRAM,led50000067,LED Components,LED Components,LED50000067 LED Components from OSRAM. Sourced via professional procurement support; specs below.,,,"{""forward_voltage_v"": ""2.1"", ""forward_current_ma"": ""20"", ""wavelength_nm"": ""650"", ""package"": ""0805"", ""Luminous Intensity"": ""100mcd""}",active,,https://example.com/datasheet/LED50000067.pdf,,
MEM50000068,MEM50000068,SK Hynix,SK Hynix,mem50000068,Memory IC,Memory IC,MEM50000068 Memory IC from SK Hynix. Sourced via professional procurement support; specs below.,,,"{""interface"": ""SPI"", ""organization"": ""x8"", ""memory_bytes"": ""16777216"", ""Access Time"": ""70ns""}",active,,https://example.com/datasheet/MEM50000068.pdf,,
XTAL50000069,XTAL50000069,TDK Corporation,TDK Corporation,xtal50000069,Crystal Oscillator,Crystal Oscillator,XTAL50000069 Crystal Oscillator from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""load_capacitance_pf"": ""18"", ""package"": ""SMD""}",active,,https://example.com/datasheet/XTAL50000069.pdf,,
MCU50000070,MCU50000070,Holtek Semiconductor,Holtek Semiconductor,mcu50000070,Microcontroller,Microcontroller,MCU50000070 Microcontroller from Holtek Semiconductor. Sourced via professional procurement support; specs below.,,,"{""ram_bytes"": ""20480"", ""core"": ""ARM Cortex-M4""}",active,,https://example.com/datasheet/MCU50000070.pdf,,
MOS50000071,MOS50000071,Yangjie,Yangjie,mos50000071,MOSFET,MOSFET,MOS50000071 MOSFET from Yangjie. Sourced via professional procurement support; specs below.,,,"{""rds_on_mohm"": ""8"", ""id_a"": ""30"", ""vgs_th_v"": ""2.5"", ""vds_v"": ""55""}",active,,https://example.com/datasheet/MOS50000071.pdf,,
RES50000072,RES50000072,Fenghua,Fenghua,res50000072,Resistor,Resistor,RES50000072 Resistor from Fenghua. Sourced via professional procurement support; specs below.,,,"{""power_rating_w"": ""0.25"", ""tolerance"": ""±1%"", ""package"": ""0805"", ""resistance_ohm"": ""10000""}",active,,https://example.com/datasheet/RES50000072.pdf,,
CAP50000073,CAP50000073,TDK Corporation,TDK Corporation,cap50000073,Capacitor,Capacitor,CAP50000073 Capacitor from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""capacitance_pf"": ""100nF"", ""temperature_coeff"": ""X7R"", ""voltage_rating_v"": ""50""}",active,,https://example.com/datasheet/CAP50000073.pdf,,
IND50000074,IND50000074,,,ind50000074,Inductor,Inductor,IND50000074 Inductor from unspecified. Sourced via professional procurement support; specs below.,,,"{""inductance_uh"": ""4.7"", ""current_rating_a"": ""1.5""}",active,,https://example.com/datasheet/IND50000074.pdf,,
SEN50000075,SEN50000075,,,sen50000075,Sensors,Sensors,SEN50000075 Sensors from unspecified. Sourced via professional procurement support; specs below.,,,"{""range"": ""0-40"", ""interface"": ""I2C"", ""resolution_bits"": ""12""}",active,,https://example.com/datasheet/SEN50000075.pdf,,
CON50000076,CON50000076,TE Connectivity,TE Connectivity,con50000076,Connectors,Connectors,CON50000076 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,,,"{""mounting"": ""SMD"", ""voltage_rating_v"": ""50""}",active,,https://example.com/datasheet/CON50000076.pdf,,
MOD50000077,MOD50000077,SIMCom,SIMCom,mod50000077,Modules,Modules,MOD50000077 Modules from SIMCom. Sourced via professional procurement support; specs below.,,,"{""interface"": ""UART"", ""data_rate_bps"": ""2000000""}",active,,https://example.com/datasheet/MOD50000077.pdf,,
OPA50000078,OPA50000078,Silicon Labs,Silicon Labs,opa50000078,Analog IC,Analog IC,OPA50000078 Analog IC from Silicon Labs. Sourced via professional procurement support; specs below.,,,"{""supply_current_ua"": ""200"", ""bandwidth_hz"": ""1000000"", ""gain_db"": ""100""}",active,,https://example.com/datasheet/OPA50000078.pdf,,
PMIC50000079,PMIC50000079,Infineon Technologies,Infineon Technologies,pmic50000079,Power Management IC,Power Management IC,PMIC50000079 Power Management IC from Infineon Technologies. Sourced via professional procurement support; specs below.,,,"{""output_current_a"": ""3"", ""voltage_out_v"": ""5""}",active,,https://example.com/datasheet/PMIC50000079.pdf,,
DIO50000080,DIO50000080,Vishay Intertechnology,Vishay Intertechnology,dio50000080,Diode,Diode,DIO50000080 Diode from Vishay Intertechnology. Sourced via professional procurement support; specs below.,,,"{""if_a"": ""1"", ""vrrm_v"": ""100""}",active,,https://example.com/datasheet/DIO50000080.pdf,,
LED50000081,LED50000081,Everlight Electronics,Everlight Electronics,led50000081,LED Components,LED Components,LED50000081 LED Components from Everlight Electronics. Sourced via professional procurement support; specs below.,,,"{""wavelength_nm"": ""650"", ""package"": ""0805"", ""forward_current_ma"": ""20"", ""forward_voltage_v"": ""2.1"", ""Luminous Intensity"": ""100mcd""}",active,,https://example.com/datasheet/LED50000081.pdf,,
MEM50000082,MEM50000082,SK Hynix,SK Hynix,mem50000082,Memory IC,Memory IC,MEM50000082 Memory IC from SK Hynix. Sourced via professional procurement support; specs below.,,,"{""organization"": ""x8"", ""interface"": ""SPI"", ""speed_hz"": ""104000000"", ""memory_bytes"": ""16777216""}",active,,https://example.com/datasheet/MEM50000082.pdf,,
XTAL50000083,XTAL50000083,AbraconX,AbraconX,xtal50000083,Crystal Oscillator,Crystal Oscillator,XTAL50000083 Crystal Oscillator from AbraconX. Sourced via professional procurement support; specs below.,,,"{""package"": ""SMD"", ""frequency_hz"": ""8000000"", ""load_capacitance_pf"": ""18""}",active,,https://example.com/datasheet/XTAL50000083.pdf,,
